,constituency,name,age,cases,assets,liabilities,education,constituency_category,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category,party,votes,gender,uuid,Year,education_category
1272,Malavalli,M. Krishnamurthy,49,0,1775000.0,100000.0,"MA in Hindi From Mysore University 2000 B.Ed. in Hindi From Mysore Hindi Prachara Parishath, Bangalore, Year-1997",SC,Mandya,Social worker,Not Given,Social Work / Activism,Cound't Classify,BSP,2277.0,M,ktMhtgbH,2023,Postgraduate
1273,Kundgol,M R Patil,61,0,17202932.0,246125.0,"B-Com, J.G Commerce College, Hubli-1983",GEN,Dharwad,Shetaki,House Wife and Tailring,Cound't Classify,Cound't Classify,BJP,76105.0,F,bK53WXab,2023,Graduate
1274,Indi,M. M. Bagawan,32,0,737500.0,360000.0,9th-SDMC Urdu SchoolIndi-2008,GEN,Bijapur,Business,Housewife,Business / Entrepreneurship,Education / Academia,IND,922.0,M,iFMCax3S,2023,Secondary Education
1275,Chamundeshwari,M. M. Mahesha Gowda,52,0,8245000.0,,10th Government High School KR Nagar in 1985-86,GEN,Mysore,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,IND,594.0,M,ey7A3Sxt,2023,Secondary Education
1276,Chickpet,M V Vishnu,26,0,2497303.0,,Master of Business Administration (Sports Management) - MBA ESG - 2017 - 2019 and Bachelor of Commerce - Vijaya Evening College - Bangalore University - 2014 - 2017,GEN,B.B.M.P(Central),Management Professional and Business,Not Given,Business / Entrepreneurship,Cound't Classify,UPP,757.0,M,KssRJjd6,2023,Postgraduate
1277,Rajarajeshwarinagar,M. Lingaraju,46,0,21688000.0,6000000.0,"SSLC From Rajarajeshwari school, Rajarajeshwari Nagar, Karnataka State Board In 1995",GEN,B.B.M.P(Central),Self Employed,House wife,Business / Entrepreneurship,Not Given,JMBP,96.0,F,aoE875VJ,2023,Higher Secondary Education
1278,Hosakote,M Shrimathi,43,0,7340000.0,,SSLC from Karnataka Board of Secondary Education in 1993-94,GEN,Bangalore Rural,School Teacher,Self Job,Education / Academia,Business / Entrepreneurship,IMP,28.0,M,6sC5jXaw,2023,Higher Secondary Education
1279,Jayanagar,M P Nanjesh Kumar,47,0,5000.0,,PUC B.com,GEN,B.B.M.P(South),Own business,House Wife,Business / Entrepreneurship,Cound't Classify,IND,62.0,M,By6Pk839,2023,Higher Secondary Education
1280,Bangarapet,M. Mallesh Babu,49,2,218769865.0,31827872.0,MBA Degree Bangalore University Central College Bangalore in April 1997,SC,Kolar,Business Retail Outlet of IOCL Trade Name Sri Sai Service Station,Agriculturist,"Business / Entrepreneurship, Transportation / Logistics",Agriculture / Farming,JD(S),72581.0,M,cFeQ3czA,2023,Postgraduate
1281,Varuna,M. Mahesh,45,0,2615220.0,,4TH PASS 1989 from Govt. School,GEN,Mysore,Own Business,Housewife,Business / Entrepreneurship,Education / Academia,IND,199.0,M,bkw3EAgS,2023,Primary Education
1282,Chikmagalur,M. P. Eregowda,62,0,10234755.0,,"Bachelor of Arts From IDSG College, Chikkamagaluru - 1989",GEN,Chikmagalur,Retired Teacher,No,Not Given,Cound't Classify,AAP,524.0,M,LqdQ6aus,2023,Graduate
1283,Kolar,M. Ramesha,36,0,1772300.0,50000.0,SSLC Karnataka High School and Pre University College Kolar in March 2009,GEN,Kolar,Social Service,House Wife,Social Work / Activism,Cound't Classify,IND,139.0,M,3pNEGaGQ,2023,Higher Secondary Education
1284,Channagiri,M. Roopa Kagaturu,37,0,6661000.0,3300000.0,M.Sc from Vinayak Mechanical University,GEN,Davangere,Principal,Business,Education / Academia,Business / Entrepreneurship,KRPP,183.0,M,DoNeHHNK,2023,Postgraduate
1285,Chamundeshwari,M. Nagaraju,65,0,12620350.0,1100000.0,"B.Sc from V.V. Puram College Bangalore, Bangalore University In 1979",GEN,Mysore,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming,IND,240.0,M,XjAP6rcY,2023,Graduate
1286,Chamundeshwari,M. Rangaswamy,62,0,1369170.0,,SSLC Pass,GEN,Mysore,KSRTC Retried Conductor,No,Law Enforcement / Security,Cound't Classify,IND,632.0,M,YUeKRiQw,2023,Higher Secondary Education
1287,Siruguppa,M. S. Gadilingappa,32,0,1016000.0,550000.0,"MA, LLM From Vijayanagar Shree Krishna Devaraya University Bellary",ST,Bellary,Agriculture and Lawyer,Self Employment,"Law / Judiciary, Agriculture / Farming",Business / Entrepreneurship,IND,370.0,M,gbRTzq74,2023,Postgraduate
1288,Anekal,M. Ramesh,50,0,6040000.0,,SSLC from Govt Higher Secondary School in 1996 Thali Tamilnadu,SC,Bangalore Urban,Provision Strore,House wife,Business / Entrepreneurship,Not Given,IND,163.0,M,F4GEvnzw,2023,Higher Secondary Education
1289,Bangarapet,M. Narayanaswamy,70,1,83355283.0,41233395.0,"Bachelor of Arts, Bangalore University 1970-71",SC,Kolar,Agriculture and social service,Agricultural and house wife,"Agriculture / Farming, Social Work / Activism","Agriculture / Farming, Not Given",BJP,8972.0,M,HLNCcM3h,2023,Graduate
1290,Chamaraja,M. Panchalingu,62,0,12000.0,,2nd Year B.Com Passed from Banumaiah College in 1987,GEN,Mysore,Aluminum Fabrication works,Housewife Home Maker,Unknown,Not Given,CCP,63.0,M,E5yPeMfQ,2023,Graduate
1291,C.V. Raman Nagar,M. Rajendra,51,0,26320000.0,,"LLB KGF Law College 2001, Bangalore University",SC,B.B.M.P(North),Farmer Advocate,House Wife,Agriculture / Farming,Cound't Classify,RPI,132.0,M,nmKrmyY2,2023,Graduate
1292,Hanur,M. Nagaraju,53,0,462600.0,500000.0,"B.A. (Sociology) From Mysore University, Year-1997",GEN,Chamarajnagar,Social service,Housewife,Social Work / Activism,Education / Academia,IND,227.0,M,6frBy4CC,2023,Graduate
1293,Dasarahalli,M. Sneha,40,1,200000.0,,10th STD,GEN,Bangalore Urban,Social Service,Supervisor,Social Work / Activism,Unknown,IMP,122.0,F,nvzY7Ryf,2023,Secondary Education
1294,Turuvekere,M.C.Srinivas,43,0,100000.0,3507.0,"SSLC Pass 1994 - 95, ITI 1998",GEN,Tumkur,Self Business,Self Business,Business / Entrepreneurship,Business / Entrepreneurship,BSP,136.0,M,65ApySnf,2023,Vocational Training
1295,Arkalgud,M.C. Vishwanatha Bisalahalli,58,0,5691000.0,260000.0,B.Com Pass 1983,GEN,Hassan,Agriculture,Housewife,Agriculture / Farming,Education / Academia,IND,473.0,M,NRqK6Bpi,2023,Graduate
1296,Chitradurga,M.A.Basavaraju,47,0,547000.0,,"MA, Kuvempu Vishwa Vidyalaya 2010",GEN,Chitradurga,Photographer,House wife,Arts / Entertainment,Not Given,IND,202.0,M,3X3d5YNW,2023,Postgraduate
1297,Chamundeshwari,M. S. Praveen,36,0,17365000.0,,M. Tech from Structural Engineering College In 2011,GEN,Mysore,Structural Engineer chartered Engineer,Housewife,Engineering / Technology,Education / Academia,KRS,1070.0,M,ixX7fPVR,2023,Postgraduate
1298,Nargund,M. Y. Nayak,40,0,1038400.0,,"PUC From Sri Shankar Arts and Commerce College Navalagund, Year-2000",GEN,Gadag,Private Employee,Government Employee (S.O),Business / Entrepreneurship,Politics / Public Service,IND,51.0,M,dYJ639sJ,2023,Higher Secondary Education
1299,Holalkere,M.Chandrappa,71,0,257587486.0,576640.0,BA in 1979,SC,Chitradurga,"Business, Agriculture , Social Service","Agriculture, Work","Business / Entrepreneurship, Agriculture / Farming, Social Work / Activism",Agriculture / Farming,BJP,88732.0,M,ExuLvWqL,2023,Graduate
1300,Chickpet,M. Srinivasa Murthy,48,0,967020.0,,10th from Hombegowda Boys Highschool in 1992,GEN,B.B.M.P(Central),Event Organiser,Business,Arts / Entertainment,Business / Entrepreneurship,IND,167.0,M,Nv8QJtau,2023,Secondary Education
1301,Siruguppa,M. S. Somalingappa,62,1,66611097.0,17924470.0,"PUC, First Year, Commerce Department Fail, From VKJ Pre-University College, PU Board, Bangalore In 1983",ST,Bellary,Agriculture,House Wife and Agriculture,Agriculture / Farming,"Not Given, Agriculture / Farming",BJP,53830.0,M,HdYMGW4R,2023,Higher Secondary Education
1302,Sringeri,M.K. Dayanda Mavinakere,74,0,126117500.0,800000.0,B.Com Fail Shivamogga,GEN,Chikmagalur,Agriculture,Housewife,Agriculture / Farming,Education / Academia,PSS,114.0,M,dMmAsEBR,2023,Graduate
1303,Hubli-Dharwad West,M.D. Rottigawad (M.D.R),55,1,23630000.0,750000.0,SSLC,GEN,Dharwad,Agriculture and Social worker,House work,"Agriculture / Farming, Social Work / Activism",Cound't Classify,KRS,115.0,F,NNAStfmv,2023,Secondary Education
1304,Chikmagalur,M.G. Vijay Kumar,45,0,4630000.0,1200000.0,"7th Class, Senior Primary School, Dantaramakki, Chickamagaluru - 20 05 1989",GEN,Chikmagalur,Business,House Wife,Business / Entrepreneurship,Cound't Classify,IND,143.0,F,NcuP9xgT,2023,Primary Education
1305,Krishnaraja,M.K. Somashekar,70,2,447112458.0,113456220.0,B.Com. from Mysore University in1980-81,GEN,Mysore,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,INC,66457.0,F,g2pmJwby,2023,Graduate
1306,Mandya,M.J. Chikkanna Lavanya Residency,57,3,49890000.0,6000000.0,10th Pass From Government High School Kalukattada Mandya in 1980-81,GEN,Mandya,Business,House Wife,Business / Entrepreneurship,Cound't Classify,IND,183.0,,nhoPsA4Q,2023,Secondary Education
1307,Bidar South,M.Naseemuddin Patel,61,1,23921841.0,2127036.0,9th Pass from Govt School Ranjole Kheni Taluk Bidar District Karnataka in the Year 1979,GEN,Bidar,Agriculture,Agriculture and Housewife,Agriculture / Farming,Agriculture / Farming,AAP,5104.0,M,Efgp5Xmi,2023,Secondary Education
1308,Mulbagal,M.Kothur R Govindu,39,0,236716026.0,,5th Class,SC,Kolar,Business,Not Given,Business / Entrepreneurship,Cound't Classify,IND,75.0,M,MC8xxxa5,2023,Primary Education
1309,Chitradurga,M.H.Shashidhar,40,0,2250000.0,700000.0,Diploma in computer science SJM Polytechnic Chitradurga,GEN,Chitradurga,Business and Social service,House wife,"Business / Entrepreneurship, Social Work / Activism",Not Given,IND,313.0,M,QkPUz7DL,2023,Diploma Holder
1310,Koppal,M.K. Saheb Nageshanahalli,27,0,3657000.0,650000.0,BA LLB in Bharath Ratna Shri Atal Bihar Vajpee University Koppal,GEN,Koppal,Student LLB 1st year,No,Not Given,Cound't Classify,AAP,905.0,M,T8nUv2r2,2023,Graduate
1311,Molakalmuru,M.O.Manjunatha Swamy Nayaka,52,0,651800.0,75000.0,"BA-1992,LLB-1995 from Kuvempu VV",ST,Chitradurga,Agriculture and Advocate,NO,"Law / Judiciary, Agriculture / Farming",Not Given,BSP,899.0,M,A6gZeNwX,2023,Graduate
1312,Chamarajanagar,M.Nagendra Babu,46,0,3446461.0,770000.0,B.Sc. From Govt. Science College Bangalore Year-2003,GEN,Chamarajnagar,Agriculture,Not Given,Agriculture / Farming,Cound't Classify,KJP,147.0,M,V7i5Py4q,2023,Graduate
1313,Hosadurga,M.S. Sathish Jangama,50,0,6285000.0,150000.0,"2ND PUC Government Junior College,, Hosadurga Taluk,Chitradurga District,Year 1991",GEN,Chitradurga,Farmer,Housewife,Agriculture / Farming,Education / Academia,IND,388.0,M,f9TyzdrK,2023,Higher Secondary Education
1314,Mudigere,M.P.Kumaraswamy,60,11,40194623.0,686673.0,MA in History From Manasa Gangotri University of Mysore in 1992,SC,Chikmagalur,"Agriculture ,Business","Assistant Engineer,Minor Irrigation Department ,Mysuru","Agriculture / Farming, Business / Entrepreneurship",Engineering / Technology,JD(S),26038.0,M,SnS9UUKg,2023,Postgraduate
1315,Kolar,M.S.Badarinarayana,53,1,1024000.0,,"Bachelor of Commerce, Bachelor of Laws , Bangalore University - 1993, Kolar Boys College",GEN,Kolar,Advocate Profession,Advocate Profession,Law / Judiciary,Law / Judiciary,RPIA,87.0,M,npdoxYEP,2023,Graduate
1316,Arkalgud,M.R. Shivanna,49,0,2438500.0,50000.0,10th pass 1992 From Shri Kancheerayaswamy Sanivasa High School Arakalagudu,GEN,Hassan,Agriculture,house wife,Agriculture / Farming,Not Given,IND,294.0,M,DDa6Xp5r,2023,Secondary Education
1317,Heggadadevankote,M.S. Shivakumar,50,0,1329500.0,49000.0,10th STD TS Subbanna Public School Mysore in 1985-86,ST,Mysore,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,IND,434.0,M,AsmxtgU2,2023,Secondary Education
1318,Hanur,M.R. Manjunath,50,0,3166796220.0,612284951.0,"SSLC from Lawry Memorial High School in 1990, Diploma (DME)-Discontinued-MVJ College in 1994",GEN,Chamarajnagar,Business,House Wife,Business / Entrepreneurship,Cound't Classify,JD(S),75632.0,M,cYtGn8aU,2023,Diploma Holder
1319,Honnali,M.P. Renukacharya,62,5,231547793.0,50472764.0,PUC Sauhardi Science College Shimoga in 1980-81,GEN,Davangere,Agriculture,Housewife,Agriculture / Farming,Education / Academia,BJP,74832.0,M,YQaPzwco,2023,Higher Secondary Education
1320,Nanjangud,M.P.Vijay Kumar,52,0,2735000.0,,"PUC, BA Passed -1989 Maharaj College Mysore",SC,Mysore,Real Estate Share Business,House Wife,"Business / Entrepreneurship, Construction / Real Estate",Cound't Classify,KRS,164.0,M,ZQpGxMYV,2023,Graduate
1321,Bagalkot,M.S.Hiremath,38,0,2300500.0,200000.0,"7th Pass From Govt. Senior Primary School Hadagali, Karnataka, Year-1998",GEN,Bagalkot,Devotees,House wife,Religion / Spirituality,Not Given,IND,480.0,M,TKw9Y3pm,2023,Primary Education
1322,Turuvekere,M.T.Krishnappa,71,8,19513690.0,115000.0,"Bcom, Bangalore University, 1974",GEN,Tumkur,Agriculture,House wife,Agriculture / Farming,Not Given,JD(S),68163.0,M,CbnfA7YD,2023,Graduate
1323,Chitradurga,M.T.Chandranna,46,0,3555000.0,600000.0,PUC from Bapuji Pre University College Challakere 1997,GEN,Chitradurga,Agriculture,Not Given,Agriculture / Farming,Cound't Classify,KRS,508.0,M,kyQjwzFv,2023,Higher Secondary Education
1324,Afzalpur,M.Y.Patil,82,0,46932109.0,3323000.0,"BA from Karnataka University, Dharwad in 1964",GEN,Gulbarga,Agricultural and Social Work,Household Duties,"Agriculture / Farming, Social Work / Activism",Cound't Classify,INC,56313.0,M,Phc5BZLg,2023,Graduate
1325,Navalgund,Mabusab Maktumsab Yaraguppi,35,0,465407.0,,B.A- Karnataka University Dharwad in 2010,GEN,Dharwad,"Reporter, Social service",House work,"Media / Journalism, Social Work / Activism",Cound't Classify,IND,454.0,M,Xh2YzwVD,2023,Graduate
1326,Holalkere,M.S.Raghuveera Varma,33,0,738500.0,,B Com Degree From Davanagere University 2020,SC,Chitradurga,Agriculture,Not Given,Agriculture / Farming,Cound't Classify,KRS,109.0,M,5H5VtoGo,2023,Graduate
1327,Madhugiri,M.V.Veerabhadraiah,68,2,471978769.0,190844778.0,"Post Graduate, Political Science in 1976-78, Bengaluru University,",GEN,Tumkur,Retired Govt. Employee,House wife,Business / Entrepreneurship,Not Given,JD(S),55643.0,M,hn3fNaDL,2023,Postgraduate
1328,Hanur,Madesha .M,49,0,1050000.0,,"M.A. in Political From Mysore University, Manasa Gangothri 2000",GEN,Chamarajnagar,Self Employed and social service,Not Given,"Business / Entrepreneurship, Social Work / Activism",Cound't Classify,BSP,1302.0,M,G3e3hVur,2023,Postgraduate
1329,K.R.Pura,Madesha N,30,0,219000.0,452004.0,SSLC From Government High School K.R.Pura Year 2013,GEN,B.B.M.P(North),Private Company,Not Applicable,Cound't Classify,Cound't Classify,UPP,2215.0,M,mRJrCMCb,2023,Higher Secondary Education
1330,Malur,M.Vijaya Kumar,27,0,50000.0,,5th class from Government Kannada Boys model senior primary school Malur town in 2006-07,GEN,Kolar,Car Driver,Not Applicable,Transportation / Logistics,Cound't Classify,IND,1370.0,M,Mo4BH3C9,2023,Primary Education
1331,B.T.M.Layout,M.Venkatesha,60,1,1950000.0,2400000.0,"8th Std. from RSS School Maruthinagara, Madiwala, Bengaluru in 1976",GEN,B.B.M.P(South),Real Estate Business,House Wife,Construction / Real Estate,Cound't Classify,JD(S),1841.0,M,9wUS5juz,2023,Primary Education
1332,Arkalgud,M.T. Krishnegowda,59,0,1013579237.0,69729665.0,4th Standard- Primary School Doddamagge in 1970,GEN,Hassan,Agriculture and Business,Agriculture and Business,"Agriculture / Farming, Business / Entrepreneurship","Agriculture / Farming, Business / Entrepreneurship",IND,55038.0,M,Qn9qECh5,2023,Primary Education
1333,Nanjangud,Madeshan. R,46,0,42300000.0,50000.0,DCE.CPC. Polytechnic Mysore 1995,SC,Mysore,Profession Agriculture,NO,Agriculture / Farming,Not Given,KRPP,453.0,M,mMyaRVuq,2023,Diploma Holder
1334,Channagiri,Madal Mallikarjuna,46,0,164120165.0,26561534.0,2nd PUC passed in 1995,GEN,Davangere,Farmer Business,Farmer House wife,"Business / Entrepreneurship, Agriculture / Farming",Agriculture / Farming,IND,61828.0,M,LYRi2GNu,2023,Higher Secondary Education
1335,Malavalli,Madhaw Ciran. M.S,40,0,5552571.0,2065000.0,"Bachelor of Commerce, Bharathi Education trust, Bharathinagar, Maddur Tq., Mandya Dist, Mysore University- 2006",SC,Mandya,Entrepreneur Social Service,Govt. Employee,"Business / Entrepreneurship, Social Work / Activism",Unknown,IND,149.0,M,Y4yFmyon,2023,Graduate
1336,Sorab,Madhu Bangarappa,57,2,695121427.0,264628494.0,BA- Bangalore University Karnataka state passed in 1988,GEN,Shimoga,Business Agriculture,House wife,"Business / Entrepreneurship, Agriculture / Farming",Not Given,INC,98912.0,M,MMCo8svy,2023,Graduate
1337,Mudhol,Madev Gurappa Methri,51,0,31000.0,,"1st Standard from Govt Primary School Mugalkhod, Mudhol Tq Bagalkote D Karnataka in 1977",SC,Bagalkot,Private Job,Housewife,Information Technology,Education / Academia,RPIA,,F,idCLdMTv,2023,Primary Education
1338,Dharwad,Madhulata Goudar,34,0,1710957.0,,MA political science Karnataka university Dharwad 2011,GEN,Dharwad,Social Work,Social Work,Social Work / Activism,Social Work / Activism,SUCIC,246.0,F,jz3Qgm4G,2023,Postgraduate
1339,Mandya,Madhuchandan Organic,46,0,209229498.0,419316.0,"Bachelor Of Engineering (Electronics Communication) From PET College fo Engineering, Mandya University of Mysore, Year-1998",GEN,Mandya,Founder and CEO,CEO-software,Business / Entrepreneurship,Information Technology,SKP,,M,3enKbgsi,2023,Graduate
1340,Ramdurg,Madhura Sudhir Siddankolla,33,0,2151529.0,,"Diploma in Mechanical Engineering, BVVS Bagalkote 2011",GEN,Belgaum,Guest lecturer,Govt Job,Education / Academia,Politics / Public Service,IND,306.0,M,hkFq7bG3,2023,Diploma Holder
1341,Belgaum Uttar,Magdum Ismailmagdum,63,0,3272476.0,181000.0,"SSLC from Junccedia High School, Kudchi, Tal. Raibag, Dist. Belgaum in 1977",GEN,Belgaum,"Agriculturist, Social, Human Rights RTI Activist",House wife,"Agriculture / Farming, Social Work / Activism",Not Given,IND,66.0,M,WMAFBL7F,2023,Secondary Education
1342,Sarvagnanagar,Mahaboob Pasha,47,0,2327000.0,890000.0,"10th from St. Mary School, Narandahalli in 1992",GEN,B.B.M.P(North),Self Business,House wife,Business / Entrepreneurship,Not Given,TPSP,61.0,M,mV4Bgz3w,2023,Secondary Education
1343,Gundlupet,Mahadevaprasad M.,29,0,6292500.0,,"LLB From Vidyavardhaka Law College, Mysuru Year 2022, Karnataka State University, Hubballi",GEN,Chamarajnagar,Advocate and Agriculture,House wife,"Law / Judiciary, Agriculture / Farming",Not Given,AAP,507.0,M,KCweTdox,2023,Graduate
1344,Raichur,Mahadeva,34,0,10000.0,,"7th class-2008-Govt.samyuktha high school,jagir jadaldinini",GEN,Raichur,Private job,Not Given,Not Given,Cound't Classify,CCP,116.0,M,muPum8cg,2023,Secondary Education
1345,Nelamangala,Mahadev P,50,0,4751000.0,,"10th Pass from Junior College, Nelamangala in 1988",SC,Bangalore Rural,"Agriculture, Social Service",house wife,"Agriculture / Farming, Social Work / Activism",Not Given,BSP,490.0,M,cZqzNpwE,2023,Secondary Education
1346,Shiggaon,Mahaboobsab Dadusab Kalebag,60,1,13240000.0,2000000.0,7th Std Passed Govt Urdu Model School Savanur,GEN,Haveri,Agriculture and Contractor,House Wife,"Agriculture / Farming, Consulting / Advisory",Cound't Classify,AAP,1175.0,M,gZUe2ax2,2023,Primary Education
1347,Ramanagaram,Mahaboob Pasha,47,0,2327000.0,890000.0,"SSLC Sent Meri Shale Nayandahalli 1992, Karnakak prowda shikshana Pariksha Mandali, Bengaluru",GEN,Ramanagaram,Business,Housewife,Business / Entrepreneurship,Education / Academia,TPSP,86.0,M,aHtU8QKj,2023,Secondary Education
1348,Varuna,Mahadevaswamy R,31,0,10000.0,354000.0,"SSLC- Janatha High School, Tagadhoru, Nanjangudu Taluk passed in 2008",GEN,Mysore,Camera Man,House wife,Media / Journalism,Not Given,UPP,414.0,M,EiH3EabA,2023,Higher Secondary Education
1349,Shahapur,Mahammed Jilani Bandagisab Nashi,46,0,1508999.0,215000.0,6th Standard,GEN,Yadgir,Agriculture,Not Given,Agriculture / Farming,Cound't Classify,IND,473.0,M,fXSBHCf4,2023,Primary Education
1350,Jayanagar,Mahalakshmi C,41,0,12004095.0,,"Diploma, Physchology, Centre for Health Management and Research, NHCA, Completed in 2004",GEN,B.B.M.P(South),House Wife,Software Engineer,Cound't Classify,Information Technology,AAP,556.0,M,5m2EX8oj,2023,Diploma Holder
1351,Davanagere South,Mahammad Kaleem,25,0,1645000.0,,Diploma in Govt Polytechnic Hosadurga 2016 - 2017,GEN,Davangere,Insurance Agent,Not Given,Banking / Finance,Cound't Classify,BSP,293.0,M,E595gCG6,2023,Diploma Holder
1352,Gangawati,Mahammad Nathik Alam,41,0,1293957.0,100000.0,10th from Kottureshwar Samyukta PU College (High School Dept) in 1997-98,GEN,Koppal,Business,House wife,Business / Entrepreneurship,Not Given,IND,156.0,M,AhBdfsC9,2023,Secondary Education
1353,Kundgol,Mahammadahaniph Rajesab Karadi,59,0,3083000.0,270000.0,8th Class from Sri harigatta sayukta padavi purva college in 1981,GEN,Dharwad,BYAND CULTER,NO,Cound't Classify,Not Given,IND,98.0,M,MEencjN7,2023,Primary Education
1354,Hubli-Dharwad Central,Mahantawodeyar Siddalingeshwargouda,35,0,39197684.0,2300000.0,"Master of Business Administer from Kaizen Institute of Excellence in Management Science Hubli, Karntaka University, Dharwada In 2011",GEN,Dharwad,Private job,House Wife,Not Given,Cound't Classify,JD(S),513.0,,BnfCSeTy,2023,Postgraduate
1355,Raybag,Mahaveer Laxman Mohite,56,0,19393190.0,15830357.0,"PUC From R.D Pre University College, Chikkodi in 1986",SC,Belgaum,Agriculture,Anganwadi worker,Agriculture / Farming,Social Work / Activism,INC,22685.0,M,KnxgcMrN,2023,Higher Secondary Education
1356,Melukote,Mahendra Kumar K.R.,41,1,207000.0,,"PUC,Government PU College ,Bhaktarahalli ,Kunigal taluk ,1999-2000",GEN,Mandya,Marketing,Housewife,Business / Entrepreneurship,Education / Academia,KRS,1379.0,M,7mb85WZU,2023,Higher Secondary Education
1357,Holalkere,Mahanthesh C U,43,0,7076000.0,200000.0,"2nd PUC from Ravindra Pre University College, Challkere in the Year 1998-99 and Diploma in Computer Science in Gurukul College, Challakere in the year 2002",SC,Chitradurga,"Own Business, Tours Travels (Travels Link Company (Partner))",House Wife,"Business / Entrepreneurship, Transportation / Logistics",Cound't Classify,AAP,170.0,M,5gAKGYJo,2023,Diploma Holder
1358,Bidar,Mahesh,35,0,323320.0,,"Master of Social Work, Smart Ashok Undergraduate College, Kalburgi - 2022",GEN,Bidar,Social Service,Asha Worker,Social Work / Activism,Social Work / Activism,RPIA,,M,9THJjxSr,2023,Postgraduate
1359,Kudachi,Mahendra Kallappa Tammannavar,45,1,74975544.0,2500000.0,"Bachelor of Arts, Karnataka College, Dharwad - 2002",SC,Belgaum,Agriculturist,House Wife,Agriculture / Farming,Cound't Classify,INC,85321.0,M,JNTGHkRk,2023,Graduate
1360,Yadgir,Mahantesh Parashuram Bhovi,34,0,832000.0,,"Graduate Arts from Gulbarga University BA, B.Ed. in 2014",GEN,Yadgir,Social service,Teacher,Social Work / Activism,Education / Academia,IND,336.0,M,QTM38tcJ,2023,Graduate
1361,Muddebihal,Mahboob Shabbirahmed Hadalageri,29,0,21196082.0,3510000.0,SSLC Anjuman High School Muddebihal in 2010,GEN,Bijapur,Business,Not Applicable,Business / Entrepreneurship,Cound't Classify,AAP,231.0,M,8XeoMQJ4,2023,Secondary Education
1362,Hubli-Dharwad Central,Mahesh Tenginakai,52,1,14046961.0,700900.0,SSLC PASSED -MARCH1986- Sconday Education Bangalore,GEN,Dharwad,Business,House Wife,Business / Entrepreneurship,Cound't Classify,BJP,95064.0,M,EDZ4ppH4,2023,Higher Secondary Education
1363,Navalgund,Mailarappa Bharamappa Chavadi,30,0,458000.0,,"BCA,2015 Karnataka University",GEN,Dharwad,Agriculture and social service,NO,"Agriculture / Farming, Social Work / Activism",Not Given,KRS,107.0,M,cSxDvCKg,2023,Graduate
1364,Belthangady,Mahesh Auto,35,0,30000.0,431000.0,PUC from S.P.P.C. Mudigere Computer Diploma From Ajiya Computer Diploma,GEN,Dakshina Kannada,Auto Driver,Labour,Unknown,Cound't Classify,IND,214.0,M,4JSWNNWM,2023,Higher Secondary Education
1365,Gulbarga Dakshin,Mahesh S.B.,37,0,266990.0,,"B.A. from S.S. Margol College Shahabad, Gulbarga University, Kalaburagi in 2006",GEN,Gulbarga,Social Activist,Social Activist,Social Work / Activism,Social Work / Activism,SUCIC,98.0,M,iJ6TSBUX,2023,Graduate
1366,Holalkere,Mahesh Kumar M.P,33,0,1461610.0,,Bachelor of Engineering Electronics Communicaton College - MS Ramaiah Institute of Technology Bangalore Course Completed 2014 VTU Belgam,SC,Chitradurga,Engineer in Private Company,Living Separately,Engineering / Technology,Unknown,IND,327.0,M,9UQ9FEZd,2023,Graduate
1367,Gundlupet,Mahesha M.,27,0,3402500.0,766320.0,"MBA Don Bosko Institution of Bio Science and Management Studies Kumbalgudu, Bengaluru",GEN,Chamarajnagar,Agriculture,Not Given,Agriculture / Farming,Cound't Classify,IND,297.0,M,8MHv7Uoa,2023,Postgraduate
1368,Athani,Mahesh Iranagouda Kumathalli,61,0,91948867.0,40000.0,B.E Civil - KLE Engineering College Belgaum Karnataka passed in 1986,GEN,Belgaum,Self-Dealing,House wife,Not Given,Not Given,BJP,55282.0,M,ZJuUYT4M,2023,Graduate
1369,Rajaji Nagar,Mahesh Rajashekar,36,0,2750000.0,2248532.0,MBA from HR and Marketing from Bangalore University,GEN,B.B.M.P(Central),Salaried Working in Momentive Performance Materials and Pvt Ltd as SAP Secuitycomplainace Admin from Past 10 years,House Wife,Not Given,Cound't Classify,IND,129.0,M,eaM785nb,2023,Postgraduate
1370,Belur,Mahesh B R,36,2,4300000.0,,"PUC vivekananda pre degree college ,belur.",GEN,Hassan,BUSINESS,No,Business / Entrepreneurship,Cound't Classify,IND,563.0,M,hgBvCsmb,2023,Higher Secondary Education
1371,Navalgund,Mallappa Krishnappa Hebasur,38,0,546055.0,350000.0,2nd Standard in Government Lower Primary School No.1 Navalgund,GEN,Dharwad,Labour Work,House Wife,Cound't Classify,Cound't Classify,IND,131.0,M,C6okW74o,2023,Primary Education
1372,Ron,Maktumsab Yamanoorasab Mudhol,54,0,50155900.0,1300000.0,SSLC- Govt High School-Mudhol-1984-85,GEN,Gadag,Agriculture and Social Service,House Wife,"Agriculture / Farming, Social Work / Activism",Cound't Classify,JD(S),652.0,F,8tbVQj9r,2023,Higher Secondary Education
