,constituency,name,cases,assets,liabilities,education,self_profession,spouse_profession,self_profession_category,spouse_profession_category,district,gender,age,party,const_category,total_electors,total_const_votes,votes,candidate_voteshare_percent,uuid,Year,education_category
1627,Malur,Manjunathagowda,0.0,605000.0,,"GJ college, MALUR 1998",BUSINESS,Not Given,Business / Entrepreneurship,Cound't Classify,Kolar,M,32,IND,GEN,163883,143121,774,0.54,4RkSAXZo,2013,Unknown
1628,Gundlupet,Maridasaiah,0.0,170000.0,,"S.S.L.C , J.S.S Terakanambi,1973",Social worker,Not Given,Social Work / Activism,Cound't Classify,Chamarajnagar,M,58,IND,GEN,190420,162326,1546,0.95,7NKCLcTf,2013,Secondary Education
1629,Ramanagaram,Maridevaru,0.0,155000.0,,"8th std,rural high school,kanakapur",agriculter,house wife,Agriculture / Farming,Not Given,Ramanagaram,M,46,INC,GEN,184788,148705,58049,39.04,AzeCXfPs,2013,Primary Education
1630,Ramanagaram,Maridevaru,0.0,155000.0,,"8th std,rural high school,kanakapur",agriculter,house wife,Agriculture / Farming,Not Given,Ramanagaram,M,48,IND,GEN,184788,148705,430,0.29,cXfuHgdG,2013,Primary Education
1631,Ramanagaram,Maridevaru,0.0,30090934.0,1158989.0,"GOVERNMENT PRE UNIVERCITY COLLEGE, RAMNAGAR (1984)",AGRICULTURE,HOME MAKER,Agriculture / Farming,Not Given,Ramanagaram,M,46,INC,GEN,184788,148705,58049,39.04,XDQJAPie,2013,Higher Secondary Education
1632,Ramanagaram,Maridevaru,0.0,30090934.0,1158989.0,"GOVERNMENT PRE UNIVERCITY COLLEGE, RAMNAGAR (1984)",AGRICULTURE,HOME MAKER,Agriculture / Farming,Not Given,Ramanagaram,M,48,IND,GEN,184788,148705,430,0.29,93vawR8Y,2013,Higher Secondary Education
1633,Virajpet,Maranna Dilipkumar,0.0,,70000.0,"Diploma, jayachamarajendra polytechnic college, bangalore -560001","Journalist,artist",unmarried,"Media / Journalism, Arts / Entertainment",Cound't Classify,Kodagu,M,67,IND,GEN,201277,142377,685,0.48,bL9628H8,2013,Diploma Holder
1634,Rajarajeshwarinagar,Martin Clifford Rodrigues,0.0,745300.0,,"BA,EILM telecommunication education 2012",education consultant,unmarried,Consulting / Advisory,Cound't Classify,B.B.M.P(Central),M,35,IND,GEN,334493,189998,400,0.21,iGkigKdK,2013,Graduate
1635,Manvi,Marinagappa Haravi,0.0,4327500.0,86000.0,"6th std,govt higher primary school,haravi",agriculture,House wife,Agriculture / Farming,Not Given,Raichur,M,52,IND,ST,199508,121974,1940,1.59,gXrfr3jU,2013,Primary Education
1636,Sandur,Marenna.E,0.0,2993000.0,200000.0,"PUC Sri. CS vidyamandira, Sandur",Retired,House Wife,Not Given,Cound't Classify,Bellary,M,60,BJP,ST,171854,128384,3314,2.58,Vn6pafLt,2013,Higher Secondary Education
1637,Hubli-Dharwad Central,Manoj Baburao Hangal,0.0,5479000.0,165000.0,"LLB in karnataka University 1988,MA(political science)1991 in dharwad, pursuing MA(socialogy)in karnataka university",Advocate,Not Given,Law / Judiciary,Cound't Classify,Dharwad,M,48,IND,GEN,212179,117311,346,0.29,H3RkvKoU,2013,Postgraduate
1638,Kushtagi,Mariyappa Basappa Madiwalar,0.0,35000.0,,government pre-university college guledhagudda taluk badami in 1997,"Village Electricity memeber, Bijakal",house wife,Environmental Conservation,Not Given,Koppal,M,37,IND,GEN,193774,138246,822,0.59,XcSp2zNN,2013,Higher Secondary Education
1639,Raybag,Mayur Shravan Madale,0.0,423000.0,,SSLC in R.V.R. High School Raibag,Agriculture and social work,H.H work,"Agriculture / Farming, Social Work / Activism",Unknown,Belgaum,M,37,BSP,SC,162583,122106,1275,1.04,Tm4N7cCV,2013,Higher Secondary Education
1640,Gulbarga Rural,Mastan C.Dande,0.0,50000.0,,"BCom,LLB",Lawyer,Not Given,Law / Judiciary,Cound't Classify,Gulbarga,M,39,RPI(A),SC,211123,123418,693,0.56,U4QX6pdo,2013,Graduate
1641,Mahadevapura,Mayur Patel,0.0,282000.0,,2006-07,SOCIAL SERVICE AND BUSIESS,Not Given,"Social Work / Activism, Business / Entrepreneurship",Cound't Classify,Bangalore Urban,M,31,BSRC,SC,368393,226749,1532,0.68,afXz3Ypq,2013,Unknown
1642,Turuvekere,Masala Jayaram A.S.,1.0,37851840.0,5599444.0,SSLC FROM MAVINAHALLI,AGRICULTURE AND FARMING,FARMING,Agriculture / Farming,Agriculture / Farming,Tumkur,M,45,KJP,GEN,176017,140074,57164,40.81,PZ74wzuV,2013,Higher Secondary Education
1643,Sira,Maruthi,0.0,8709000.0,60000.0,"PUC, First grade college,sira,1967",Agriculture,Librarian,Agriculture / Farming,Education / Academia,Tumkur,M,64,IND,GEN,201521,159445,261,0.16,bsBXb3Fv,2013,Higher Secondary Education
1644,Yellapur,Maruti Nagappa Karande,1.0,1822000.0,130000.0,B.E.M.S TOTADARYA COLLEGE GADAG IN 1997-98,COMMISION AGENT ( P.S.A.L COMPANY),HOUSE WIFE,Business / Entrepreneurship,Not Given,Uttara Kannada,M,36,IND,GEN,151753,120745,1637,1.36,VbmWLLqx,2013,Graduate
1645,Indi,Masali Kamalakar Sharanabasappa,0.0,2192000.0,500000.0,Unknown,Business,House wife,Business / Entrepreneurship,Not Given,Bijapur,M,43,JD(U),GEN,200749,138775,445,0.32,ZGCcY5pq,2013,Unknown
1646,Varuna,Master M.Suresh,0.0,2759384.0,468000.0,B.A (B.E.D) KARNATAKA MAHARAJ OPEN UNIVERSITY MYSORE IN 2000,agricultural social worker,house wife,"Agriculture / Farming, Social Work / Activism",Not Given,Mysore,M,43,IND,GEN,194915,160641,1427,0.89,gffmjDkX,2013,Graduate
1647,Mangalore City North,Maxim Pinto,0.0,32806000.0,1500000.0,SANTHA JOSHEF HIGH SCHOOL BAJJE MANGLORE IN1981-19882,BUSINESS(KEMPU KALLIN KORE BUSINESS),house wife,Business / Entrepreneurship,Not Given,Dakshina Kannada,M,48,IND,GEN,204413,145853,878,0.6,J2yGxfkC,2013,Secondary Education
1648,Bellary,Meenalli Tayanna,0.0,10209536.0,,"S S L C pass, Govt high school, shidigemola village ballari taluk.",AGRICULTURE,House Wife,Agriculture / Farming,Cound't Classify,Bellary,M,50,JD(S),ST,173111,130314,3958,3.04,Be4fdrRK,2013,Secondary Education
1649,Bidar South,Meenakshi Sangram,1.0,11102743.0,561928.0,B.com L.L.B. Gulbarga University,Practicing Advocate,Government Servant Asst Engineer,Law / Judiciary,Engineering / Technology,Bidar,F,43,INC,GEN,181107,124857,5105,4.09,gCMzNsEq,2013,Graduate
1650,Tumkur Rural,Mehar Taj,0.0,10000.0,,"9th Standard Govt High School, Pavagada, Tumkur Dist.",Social Service,Business Man,Social Work / Activism,Business / Entrepreneurship,Tumkur,F,51,IND,GEN,175369,146725,558,0.38,L9nYUrND,2013,Secondary Education
1651,Sagar,Megharaja. N. Pujari,0.0,3865900.0,300000.0,SHIVALINGAPPA HIGH SCHOOL SAGAR,PRIVATE COMPANY AND RETIRED ARMY,Not Given,"Business / Entrepreneurship, Military / Defense",Cound't Classify,Shimoga,M,50,IND,GEN,179790,137407,532,0.39,UqFBu6Qt,2013,Unknown
1652,Humnabad,Meerashreef Ali,0.0,2100000.0,100000.0,in 1988,Agriculturist,HouseWife,Agriculture / Farming,Not Given,Bidar,M,50,KJP,GEN,206145,136013,5695,4.19,deSFZsYc,2013,Unknown
1653,Gulbarga Uttar,Md.Nooh,0.0,415677.0,,S.S.L.C,social work and Private work,House wife,Social Work / Activism,Not Given,Gulbarga,M,48,IUML,GEN,208698,104839,194,0.19,h5y6NEeM,2013,Secondary Education
1654,Bilgi,Meerasaheb Moulasaheb Shekh(Nadaf),0.0,75000.0,,3rd std,Hotel Business,House wife,Hospitality / Tourism,Not Given,Bagalkot,M,60,IND,GEN,190466,149179,389,0.26,E2NayaiA,2013,Primary Education
1655,Babaleshwar,Mehbooba. Ha. Malabhodi,0.0,2256100.0,1810000.0,"DMC 1994 sidheswara kala mandhira,vijapura karnataka university dharvad",AGRICULTURE,House wife,Agriculture / Farming,Not Given,Bijapur,M,40,IND,GEN,184083,134348,532,0.4,fn2wSJff,2013,Diploma Holder
1656,Raichur,Mehraja Basha,0.0,1446258.0,,"S.S.L.C. Passed- Reg. No. 235587 April 1979 Tagore Memorial Boys High School, Riachur",Supplier Employment,House hold,"Business / Entrepreneurship, Transportation / Logistics",Not Given,Raichur,M,52,IND,GEN,184986,99286,261,0.26,JN3QQQ93,2013,Higher Secondary Education
1657,Saundatti Yellamma,Melagiri Mallikarajuna Channappa,0.0,21188000.0,160000.0,S.K. HIGH SCHOOL SAUNDATTI IN 1980,BUSINESS,house wife,Business / Entrepreneurship,Not Given,Belgaum,M,58,IND,GEN,168709,133145,1990,1.49,gjV4ox5Y,2013,Secondary Education
1658,Bellary City,Mekala Eshwara Reddy,0.0,1300000.0,,"M.com,gulbarga university,1990",flour mill,Not Given,Business / Entrepreneurship,Cound't Classify,Bellary,M,47,IND,GEN,194202,119471,427,0.36,NE27vYdp,2013,Postgraduate
1659,Moodabidri,Michael Lobo,0.0,1406000.0,1100000.0,SSLC karnata welfare soicity,Not Given,Not Given,Cound't Classify,Cound't Classify,Dakshina Kannada,M,58,KJP,GEN,173553,128808,1354,1.05,Wxf86Qhu,2013,Higher Secondary Education
1660,Mandya,Mohammad Tahir,0.0,350000.0,,"Kallakattada high School,Mandya-1987",Contractor in KEB dept,"Clerk in Karnataka state industrial co-operative bank, Mandya branch","Business / Entrepreneurship, Law Enforcement / Security",Banking / Finance,Mandya,M,41,SDPI,GEN,222941,152818,3074,2.01,TZ2gTh25,2013,Unknown
1661,Chamarajanagar,Mohammad Inayath Ulla,0.0,1240000.0,400000.0,7th standard,Business,Unmarried,Business / Entrepreneurship,Cound't Classify,Chamarajnagar,M,50,IND,GEN,186873,146760,1122,0.76,nsv2dyfQ,2013,Primary Education
1662,Sarvagnanagar,Michael B. Fernandes,0.0,16715755.0,,"B.Sc (physics), St. Aloysius College, Mangalore, Madras University,","Retired Engineer, ITI Ltd, Labour Leader, Ex-MLA, Ex MLC",Social Activist,Unknown,Social Work / Activism,B.B.M.P(North),M,78,KJP,GEN,280041,140672,2223,1.58,TECAApNc,2013,Graduate
1663,Shimoga,Mohammad Fazeel,0.0,1700000.0,,"SSLC,DVS high school,vinobhanagar,shivmoga",auto consulting,house wife,Consulting / Advisory,Not Given,Shimoga,M,30,IND,GEN,215937,139648,388,0.28,etY4k9V3,2013,Higher Secondary Education
1664,Chamundeshwari,Mellahalli Mahadevaswamy,0.0,40417500.0,2934000.0,"ITI ,Government ITI, Mysore 1986-88",Agriculture,House wife,Agriculture / Farming,Not Given,Mysore,M,48,IND,GEN,239448,176962,1806,1.02,2xc8xKaq,2013,Vocational Training
1665,Davanagere South,Mohamad Bruhan,0.0,1355000.0,,"6th std ,government Urdhu primary school , Dhange park , Dhavangere south Zone 1978-79",House counteractor,House wife,Construction / Real Estate,Not Given,Davangere,M,39,IND,GEN,182370,120410,399,0.33,8qw8Hv37,2013,Primary Education
1666,Vijayanagara,Mohammad Abdul Lateef,0.0,2180000.0,585000.0,"BA,LLB,Karnataka University,Dharawad-1981",Social service,Govt Employee(Education Department),Social Work / Activism,Education / Academia,Bellary,M,62,IND,GEN,171289,124713,1039,0.83,kjfHZAU4,2013,Graduate
1667,Sarvagnanagar,Modi Saifulla,0.0,630000.0,,"7th std,sri shamba v bangalore primary school",Business,Not Given,Business / Entrepreneurship,Cound't Classify,B.B.M.P(North),M,34,IND,GEN,280041,140672,606,0.43,dGDnXtm6,2013,Primary Education
1668,Bagalkot,Meti Hullappa Yamanappa,0.0,62641207.0,8917163.0,Unknown,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,Bagalkot,M,68,INC,GEN,201375,139966,68216,48.74,SXeMNszb,2013,Unknown
1669,Davanagere North,Mohammed Jabi,0.0,590000.0,,"1st std, govt urdhu primary school,dange park,1982-84",Contractor,house wife,Consulting / Advisory,Not Given,Davangere,M,37,NCP,GEN,208005,134450,1003,0.75,ayrpGBTG,2013,Primary Education
1670,B.T.M.Layout,Mohammed Sadiq,0.0,20000.0,,Unknown,BUSINESS,house wife,Business / Entrepreneurship,Not Given,B.B.M.P(South),M,33,IND,GEN,206974,110486,322,0.29,gs7boz7C,2013,Unknown
1671,Shahapur,Mohammed Anvar Pasha,0.0,2581000.0,,"BA LLB,economicslaw college,KGF,2004",lawyer,private job,Law / Judiciary,Cound't Classify,Yadgir,M,35,BSP,GEN,188066,127118,1138,0.9,CPwPvBzh,2013,Graduate
1672,Jayanagar,Mohammed Kaleemulla,0.0,5252000.0,,Illiterate,business car seat cover,House Wife,Business / Entrepreneurship,Cound't Classify,B.B.M.P(South),M,42,RCMP,GEN,170907,95565,168,0.18,KHsyHuuQ,2013,Illiterate
1673,Hebbal,Mohammed Usman Sharieff,0.0,14960000.0,,"SSLC-1989, Diploma in IATA-1993",BUSINESS,college lecturer,Business / Entrepreneurship,Education / Academia,B.B.M.P(North),M,40,IND,GEN,210497,115540,335,0.29,eU6ZuYD4,2013,Diploma Holder
1674,Navalgund,Metigoudra Prakashagouda Mallanagouda,0.0,6325500.0,,patrivana high school naragunda 1982,agriculture,house wife,Agriculture / Farming,Not Given,Dharwad,M,46,JD(U),GEN,182898,137347,232,0.17,DJJ5FFFG,2013,Unknown
1675,Hagaribommanahalli,Mohan Dasari,0.0,2194000.0,,"MS from bits pillani, Rajasthan",private job,private job,Cound't Classify,Cound't Classify,Bellary,M,30,IND,SC,185145,144826,1963,1.36,FrjjTPEu,2013,Postgraduate
1676,Kumta,Mohan Baglu Patgar,0.0,200000.0,,Unknown,SOCIAL WORK AND FARMER,TEACHER,"Agriculture / Farming, Social Work / Activism",Education / Academia,Uttara Kannada,M,46,IND,GEN,167620,124257,3070,2.47,ewcSAdvi,2013,Unknown
1677,Belgaum Uttar,Mohammed Rafiq B Desai,0.0,300000.0,,S.S.L.C. Islamiya english medium high school camp belgaum,Private business,Not Given,Business / Entrepreneurship,Cound't Classify,Belgaum,M,44,IND,GEN,193980,115183,180,0.16,3ZfU8HiT,2013,Higher Secondary Education
1678,Tumkur City,Mohammed Sadiq Jameel (Bhanu),0.0,10000.0,,B.Sc (Sericulture) At S.S.I.T. Maralur Tumkur,Electrical Work,House wife,Engineering / Technology,Not Given,Tumkur,M,42,SDPI,GEN,210384,138317,698,0.5,K3NkgxZV,2013,Graduate
1679,Gandhi Nagar,Mohan Kumar,0.0,485000.0,,"Doddnna vidya samsthe(1995-1996), sunkadakatte, Bangalore in 1995-96",Press reporter,House wife,Media / Journalism,Not Given,B.B.M.P(Central),M,33,IND,GEN,192936,110828,216,0.19,BwUGtgr5,2013,Unknown
1680,Yadgir,Moulali Anpur,0.0,29496000.0,4130000.0,MA,BUSINESS,HOUSE WIFE,Business / Entrepreneurship,Not Given,Yadgir,M,54,BSRC,GEN,190536,119778,12721,10.62,gWQrgB8q,2013,Postgraduate
1681,Jayanagar,Moula.,0.0,1861000.0,,Unknown,Electrical Decorators,House wife,Engineering / Technology,Not Given,B.B.M.P(South),M,44,IND,GEN,170907,95565,142,0.15,BFsckVHN,2013,Unknown
1682,Haveri,Motilala. Doddamani,0.0,10696500.0,890000.0,"B.E. Electronics and Communication Completed in the year 1993 from GBDT,Eng. College,Davanagere",Business,Govt. Employee,Business / Entrepreneurship,Unknown,Haveri,M,43,IND,SC,198638,150469,2088,1.39,DYx7PVd5,2013,Graduate
1683,Chikkodi-Sadalga,Mohan Gurappa Motannavar,0.0,1231800.0,85000.0,"B.A, B.K college, Chikkodi,2000 year",Auto Driver,House wife,Unknown,Not Given,Belgaum,M,39,IND,GEN,187308,149375,448,0.3,iYfHfYok,2013,Graduate
1684,Belgaum Dakshin,Mohsinkhan Nasirkhan Pathan,0.0,1067260.0,,"SSLC 2001-02,Vanita Vidaylay English Medium High Belagum Karnatka",Bussiness,House Hold,Business / Entrepreneurship,Cound't Classify,Belgaum,M,30,BSRC,GEN,202238,131946,367,0.28,KMDS5p4S,2013,Higher Secondary Education
1685,Hangal,Mohankumar B. K.,0.0,31286480.0,3245350.0,ITI COLLEGE 2002,AGRICULTURE AND FISHING,HOME MAKER,Agriculture / Farming,Not Given,Haveri,M,31,JD(S),GEN,173934,144395,4723,3.27,Sreue5x3,2013,Vocational Training
1686,Kanakagiri,Motilal Nayak Rathod,0.0,1811000.0,600000.0,PRE-UNIVERSITY VIJAYNAGAR COLLEGE HOSAPET IN 1968,AGRICULTURAL,HOUSE WIFE,Agriculture / Farming,Not Given,Koppal,M,68,IND,SC,183620,135446,579,0.43,Qfae3woE,2013,Higher Secondary Education
1687,Davanagere South,Muddapurada Rahaman Sab,0.0,398000.0,25000.0,Sampige siddeshwara high school chitradurga,Bussiness,Tailoring,Business / Entrepreneurship,Arts / Entertainment,Davangere,M,50,JD(U),GEN,182370,120410,174,0.14,2cqguyvB,2013,Unknown
1688,Raichur,Mohd.Shaalam Hussain,0.0,,,Unknown,not given,Not Given,Cound't Classify,Cound't Classify,Raichur,M,35,IND,GEN,184986,99286,510,0.51,5iAcpBdx,2013,Unknown
1689,Chickpet,Mujahid Pasha A,0.0,615000.0,,"Bsc czmb,bangalore university,BHS 1st grade college,jayanagar 1st block,bangalore-2003",self employed,house wife,Business / Entrepreneurship,Not Given,B.B.M.P(Central),M,31,SDPI,GEN,187694,108814,4821,4.43,dDqG7fRt,2013,Graduate
1690,Bhatkal,Mulla Nadeem Ahmed,1.0,158000.0,,B.E. ANJUMAN ENGINEERING COLLAGE BHATKAL IN FEB 1999,BUSINESS,Not Given,Business / Entrepreneurship,Cound't Classify,Uttara Kannada,M,42,IND,GEN,189664,134517,1285,0.96,aQSUE2CP,2013,Graduate
1691,Sedam,Mukund Reddy Nagareddy,0.0,4321000.0,1270000.0,govternment high school nidagounda taluk chincholi 1993-94,AGRICULTURAL,HOUSE WIFE,Agriculture / Farming,Not Given,Gulbarga,M,37,IND,GEN,185201,135976,748,0.55,nvaxwyLF,2013,Unknown
1692,Sedam,Mukram Khan,0.0,31310000.0,,B.COM LLB COMPLETED,AGRICULTURE AND SOCIAL SERVICE,HOUSE HOLD,"Agriculture / Farming, Social Work / Activism",Not Given,Gulbarga,M,55,JD(S),GEN,185201,135976,27047,19.89,FeNZhNsm,2013,Graduate
1693,Pavagada,Mruthyunjaya,0.0,,,Unknown,Not Given,Not Given,Cound't Classify,Cound't Classify,Tumkur,M,32,IND,SC,186168,145380,501,0.34,ikgqg77t,2013,Unknown
1694,Shivajinagar,Mukthar Ali Khan,0.0,63000.0,,"SSLC Rbanms High School, Bangalore",Not Given,Not Given,Cound't Classify,Cound't Classify,B.B.M.P(Central),M,43,IND,GEN,167309,90895,260,0.29,o5h3wjUT,2013,Higher Secondary Education
1695,Mahadevapura,Muniraja.P,0.0,390000.0,275000.0,"10th fail,govt high school,varturu-1989-90",driver,house wife,Transportation / Logistics,Not Given,Bangalore Urban,M,40,IND,SC,368393,226749,467,0.21,YCPTjtvo,2013,Secondary Education
1696,Basavakalyan,Muley Dnyaneshwar,3.0,2259200.0,100000.0,Diploma in Pharmacy Examination from Board of Examining Authority Government of Karnataka (Drugs Control Department) in 1999,Social Service Agriculture,Household,"Social Work / Activism, Agriculture / Farming",Not Given,Bidar,M,42,IND,GEN,198007,126172,514,0.41,GwNmtmMZ,2013,Diploma Holder
1697,Rajarajeshwarinagar,Munirathna,1.0,288301637.0,,"SSLC From Corporation High School, Kodandaramapuram, Malleshwaram Bangalore In 1981",BBMP Corporator Ward 37,House Wife,"Politics / Public Service, Law Enforcement / Security",Cound't Classify,B.B.M.P(Central),M,49,INC,GEN,334493,189998,71064,37.4,UCtcy5me,2013,Higher Secondary Education
1698,Hubli-Dharwad West,Mohan Limbikai,1.0,19220220.0,8511036.0,MA IN ENGLISH LLB,LAWYER AGRICULTURE,HOUSE WIFE AND BUSINESS,"Law / Judiciary, Agriculture / Farming","Business / Entrepreneurship, Not Given",Dharwad,M,54,KJP,GEN,220564,126910,12216,9.63,QJVykRvV,2013,Postgraduate
1699,Rajaji Nagar,Muniswamy K,0.0,11810000.0,,Unknown,"retired employee binny mill ltd, bangalore",Not Given,Not Given,Cound't Classify,B.B.M.P(Central),M,75,ADMK,GEN,176249,107802,1660,1.54,HfSHFnMR,2013,Unknown
1700,Bangalore South,Murali Mohan,0.0,6150000.0,1000000.0,9th Standard from Chitradurga Karnataka,Not Given,Not Given,Cound't Classify,Cound't Classify,Bangalore Urban,M,47,IND,GEN,447562,250737,1975,0.79,fWNmQuEP,2013,Secondary Education
1701,Raybag,Muragod Dundappa Durgappa,0.0,126000.0,,Unknown,Not filled,Not filled,Not Given,Not Given,Belgaum,M,58,JD(U),SC,162583,122106,299,0.24,ZeLkhrE5,2013,Unknown
1702,Koratagere,Mutturaju. P.M.,0.0,50000.0,50000.0,1993-94 GOVT PROUD COLLAGE KORATEGERE,farmer,house wife,Agriculture / Farming,Not Given,Tumkur,M,38,IND,SC,181914,152242,369,0.24,Q5QeVQTD,2013,Unknown
1703,Gauribidanur,Muralidhar P S,0.0,38030000.0,,"M.A. Political Science in Nov 2005 at Vinayaka Missions University, Tamilnadu",Business,Employee of Infosys,Business / Entrepreneurship,Information Technology,Chikkaballapur,M,49,KJP,GEN,186720,149168,1735,1.16,9JdtnFc8,2013,Postgraduate
1704,Mahadevapura,Muniyappa,0.0,6602000.0,300000.0,JSS SCHOOL BANGALORE,BUSINESS,HOME MAKER,Business / Entrepreneurship,Not Given,Bangalore Urban,M,47,KJP,SC,368393,226749,1393,0.61,FTnNSmiT,2013,Unknown
1705,Chikmagalur,Muniya Bhovi,1.0,10900000.0,400000.0,Unknown,agriculture,house wife,Agriculture / Farming,Not Given,Chikmagalur,M,48,IND,GEN,191175,139045,365,0.26,3t4t4azo,2013,Unknown
1706,Tumkur City,N Govindaraju,3.0,184180217.0,49833019.0,Diploma in Electrical Engineering,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,Tumkur,M,48,JD(S),GEN,210384,138317,38322,27.71,bk6YcMct,2013,Diploma Holder
1707,Mahadevapura,N Govardhan,0.0,12757200.0,150000.0,BANGALORE UNIVERCITY (1989),SOCIAL SERVICE,HOME MAKER,Social Work / Activism,Not Given,Bangalore Urban,M,48,JD(S),SC,368393,226749,5604,2.47,oBR4vyEz,2013,Unknown
1708,Bilgi,Murugesh Rudrappa Nirani,2.0,191797190.0,45517447.0,"B.E. Passing Year 1987 at B.V.B Engineering Collage, Hubli (Karnataka University Dharwad)",Public Servent MLA,Service,Politics / Public Service,Not Given,Bagalkot,M,47,BJP,GEN,190466,149179,55417,37.15,TuqMxav3,2013,Graduate
1709,Channapatna,Muzammill Pasha,0.0,150000.0,,9th std boys govt school CHANNAPATNA 1993,News paper Representative,Not Married,Media / Journalism,Cound't Classify,Ramanagaram,M,32,ANC,GEN,198764,168511,284,0.17,iSraCpDo,2013,Secondary Education
1710,Harapanahalli,N Kotreshi,0.0,33611571.0,10273152.0,"MSc krishi science college,dharwad in the year 2002",OWN BUSINESS,OWN BUSINESS,Business / Entrepreneurship,Business / Entrepreneurship,Davangere,M,36,KJP,GEN,184923,150223,27997,18.64,iejG6wbN,2013,Postgraduate
1711,Gauribidanur,N H Shivashankara Reddy,0.0,35604456.0,15231912.0,B.SC.AJ,AGRICULTURE,HOUSE WIFE,Agriculture / Farming,Not Given,Chikkaballapur,M,59,INC,GEN,186720,149168,50131,33.61,KwjXfvK5,2013,Graduate
1712,Gauribidanur,N H Shivashankara Reddy,0.0,35604456.0,15231912.0,B.SC.AJ,AGRICULTURE,HOUSE WIFE,Agriculture / Farming,Not Given,Chikkaballapur,M,37,IND,GEN,186720,149168,305,0.2,FzzyGCxi,2013,Graduate
1713,Mayakonda,N Linganna,0.0,40737000.0,15562552.0,"BA, Mangala Gangothri, Mysore University, Mysore-1979 University)",Social worker,House wife,Social Work / Activism,Not Given,Davangere,M,60,KJP,SC,174925,135030,31741,23.51,KZtC42KN,2013,Graduate
1714,Gauribidanur,N H Shivashankara Reddy,0.0,309340.0,,"1983-84sathyagraha smaraka high school,vidhuraswastha",agriculture,house wife,Agriculture / Farming,Not Given,Chikkaballapur,M,59,INC,GEN,186720,149168,50131,33.61,CXfu77Za,2013,Secondary Education
1715,Gauribidanur,N H Shivashankara Reddy,0.0,309340.0,,"1983-84sathyagraha smaraka high school,vidhuraswastha",agriculture,house wife,Agriculture / Farming,Not Given,Chikkaballapur,M,37,IND,GEN,186720,149168,305,0.2,ktTvRkgF,2013,Secondary Education
1716,Gauribidanur,N M Ravinarayana Reddy,0.0,18018340.0,4988392.0,B.A,AGRICULTURE AND SOCIAL WORKER,SOCIAL WOKER,"Agriculture / Farming, Social Work / Activism",Social Work / Activism,Chikkaballapur,M,61,BJP,GEN,186720,149168,31840,21.35,kUCjTMfu,2013,Graduate
1717,Shanti Nagar,N. A. Haris,0.0,1337605689.0,35333440.0,"Master of Arts in History in Karnataka Open University at Mysore,Year-2005",Managing Director - Nalapad group of Compamies,House wife,Business / Entrepreneurship,Not Given,B.B.M.P(Central),M,46,INC,GEN,179461,103610,54342,52.45,jhaC6LZU,2013,Postgraduate
1718,Navalgund,N H Konaraddi,1.0,29896575.0,273301.0,B.COM kar vishvavidyalaya 1987,AGRICULTURE,HOUSE WIFE,Agriculture / Farming,Not Given,Dharwad,M,49,JD(S),GEN,182898,137347,44448,32.36,CaoWeHgt,2013,Graduate
1719,Vijay Nagar,Muralidhara.D.J,0.0,5885000.0,2800000.0,BSc,small business,small business,Business / Entrepreneurship,Business / Entrepreneurship,B.B.M.P(South),M,48,NPP,GEN,235950,133197,256,0.19,h9K2NunZ,2013,Graduate
1720,Jagalur,N H Ramesh Babu,0.0,950000.0,200000.0,SSLC Pass Govt PU Collage Jagalur -2005,Welding work,Not Given,Engineering / Technology,Cound't Classify,Davangere,M,28,BSRC,ST,167330,132149,684,0.52,fKcCgw3t,2013,Higher Secondary Education
1721,Siruguppa,N. Kalingappa,0.0,727000.0,,Unknown,FARMER,HOUSE WIFE,Agriculture / Farming,Not Given,Bellary,M,55,LSP,ST,170038,126777,1045,0.82,PkHbPD2d,2013,Unknown
1722,Bellary City,N. Gangireddy,0.0,2600000.0,2000000.0,Unknown,Farmer,house wife,Agriculture / Farming,Not Given,Bellary,M,56,IND,GEN,194202,119471,221,0.18,Mysa6WsZ,2013,Unknown
1723,Kolar,N. Prakash Alias Begli Prakash,1.0,1170000.0,,"9th std,1970-71",agriculter,House wife,Agriculture / Farming,Not Given,Kolar,M,62,IND,GEN,196220,163480,504,0.31,DgFiSwd6,2013,Secondary Education
1724,Chintamani,N. Srinivas,0.0,1243500.0,150000.0,3rd standard,Business,Not Given,Business / Entrepreneurship,Cound't Classify,Chikkaballapur,M,36,IND,GEN,186465,158113,468,0.3,CwbFqoki,2013,Primary Education
1725,Molakalmuru,N. R. Mallaiah Swamy,0.0,1085000.0,,Unknown,social service and agriculture,House wife,"Social Work / Activism, Agriculture / Farming",Not Given,Chitradurga,M,50,IND,ST,207158,164413,942,0.57,WucC6NUH,2013,Unknown
1726,Kollegal,N. Mahesh,0.0,9260863.0,,M.A,No,"Manager at Apex bank, Bangalore",Cound't Classify,Business / Entrepreneurship,Chamarajnagar,M,57,BSP,SC,191581,146477,37209,25.4,damNjnHs,2013,Postgraduate
1727,Mulbagal,N. Srinivas,0.0,585000.0,,PUC,Agriculture,agriculture,Agriculture / Farming,Agriculture / Farming,Kolar,M,49,IND,SC,171494,138700,206,0.15,EBddEfm4,2013,Higher Secondary Education
