,constituency,name,cases,assets,liabilities,education,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category,age,gender,party,votes,percent_votes,constituency_category,uuid,Year,education_category
1029,Ron,Kalakappa Bandi,0.0,237904762.0,123675576.0,RASTRABHASHA PRAVEEN POORVARDA DAKSHIN BHARAT HINDI PRACHARA SABHA MADRAS,Gadag,AGRICULTURE AND BUSINESS AND SOCIAL SERVICE,AGRICULTURE AND SOCIAL SERVICE,"Business / Entrepreneurship, Agriculture / Farming, Social Work / Activism","Agriculture / Farming, Social Work / Activism",49.0,M,BJP,83735,49.0938725734488,GEN,SbP3XTwM,2018,Technical/Professional Course
1030,Belthangady,K.Vasantha Bangera,0.0,90328245.0,,"PUC, Sri Darmastala Manjunatheshwara College,Year-1969.SSLC ,Year-1963",Dakshina Kannada,Agriculturist,Not Given,Agriculture / Farming,Cound't Classify,73.0,M,INC,75443,42.01782233361181,GEN,8WRVB39a,2018,Higher Secondary Education
1031,Sagar,Kalavathi,0.0,5760000.0,,SSLC FROM GOVT HIGH SCHOOL IN 1992,Shimoga,SMALL BUSINESS,HOUSE,Business / Entrepreneurship,Cound't Classify,41.0,F,AIMEP,927,0.5982806691449816,GEN,Jgi828tL,2018,Higher Secondary Education
1032,Srinivaspur,K.Srinivasagowda,3.0,150000.0,,"S.S.L.C. From Sabaramathi High School, Sugaturu, Kolar Taluk, Karnataka High Education Board in the Year 1987-88",Kolar,Agriculturist,House Wife,Agriculture / Farming,Cound't Classify,52.0,M,IND,329,0.1783120515099616,GEN,Txv4eYhn,2018,Secondary Education
1033,Nippani,Kakasaheb Pandurang Patil,0.0,34686632.0,32933181.0,"BA (Hons) Year 1976 from Devchand College, Arjunnagar (Shivaji University, Kolhapur)",Belgaum,Agriculture and Social Work,Not Given,"Agriculture / Farming, Social Work / Activism",Cound't Classify,63.0,M,INC,78500,45.57303005497792,GEN,KiKUcaKm,2018,Graduate
1034,Sagar,Kagodu Thimmappa,0.0,44736191.0,28058187.0,"B.Com, BL",Shimoga,Agriculture AND Commercial Business,house wife,"Agriculture / Farming, Business / Entrepreneurship",Not Given,87.0,M,INC,70436,45.45900454357704,GEN,nC8uNMZ2,2018,Graduate
1035,Jayanagar,Kalegowda,0.0,18231527.0,,"SSLC ,batch(1965)",B.B.M.P(South),Terired central govt.Employee,Not Given,Politics / Public Service,Cound't Classify,,,JD(S),817,,GEN,TYPPzgcP,2018,Secondary Education
1036,Kagwad,Kallappa Paris Magennavar,0.0,48183302.0,5029088.0,SSLC from S A E SCHOOL ANEKAL 1968,Belgaum,"TENACITY, BUSINESS AND SOCIAL WORKER",House Wife,"Business / Entrepreneurship, Social Work / Activism",Cound't Classify,70.0,M,JD(S),7337,5.034480392493224,GEN,ZsXRyXqc,2018,Higher Secondary Education
1037,Bijapur City,Kallappa R Kadechur,0.0,10000.0,171000.0,B.Sc. Graduate in 1987 1989,Bijapur,Small Business,House Wife,Business / Entrepreneurship,Cound't Classify,51.0,M,IND,184,0.1212896251227727,GEN,TXumfH8B,2018,Graduate
1038,Jamkhandi,Kamaruddin Murasal,1.0,61000.0,,SSLC IN BOYS GOVERNMENT SCHOOL IN 1999,Bagalkot,BUSINESS,House Wife,Business / Entrepreneurship,Cound't Classify,35.0,M,IND,279,0.1816311650434873,GEN,N8f43VEw,2018,Higher Secondary Education
1039,Terdal,Kallappa Ramappa Picheli,0.0,8842478.0,2103700.0,7th Std,Bagalkot,Agriculture,House wife,Agriculture / Farming,Not Given,47.0,M,IND,712,0.4101146247335983,GEN,PsXndF2R,2018,Primary Education
1040,Haveri,Kalavati Chavhan,0.0,4158602.0,,Govt High School Annavati Passsed in the Year 1981-82,Haveri,Housewife,Not Given,Education / Academia,Cound't Classify,56.0,F,IND,308,0.1805487980022393,SC,9MpCkHpy,2018,Secondary Education
1041,Gundlupet,Kantharaja C G,1.0,4866000.0,890000.0,BA LLB AT MAHAJANA LAW COLLEGE MYSORE,Chamarajnagar,AGRICULTURIST,Not Given,Agriculture / Farming,Cound't Classify,35.0,M,PPRP,1419,0.7758253053547801,GEN,4tANqakp,2018,Graduate
1042,Gulbarga Uttar,Kaneez Fatima,0.0,173654000.0,1117800.0,Pre University studied at Nampally Junior College Hyderabad,Gulbarga,Business and Educationist,Not Given,"Business / Entrepreneurship, Education / Academia",Cound't Classify,58.0,F,INC,64311,43.29191124993268,GEN,65pPNmmu,2018,Higher Secondary Education
1043,Nippani,Kamat Ramesh Ishwar,0.0,8298600.0,1618000.0,"BA, LLB RL Law College Belgaum 2005-06 (Dharwad)",Belgaum,Lawyer Chikodi,Government Employee,Law / Judiciary,Politics / Public Service,53.0,M,BSP,2476,1.4374372282308956,GEN,nboqifHB,2018,Graduate
1044,Gangawati,Kariyanna,1.0,100136271.0,18154000.0,"PUC IN GAVISIDDESHWARA COLLEGE KOPPAL, YEAR-1981",Koppal,Tenacity,House Wife AND TENACITY,Cound't Classify,Social Work / Activism,52.0,M,JD(S),14161,9.61547602072342,GEN,6PwnZGHQ,2018,Higher Secondary Education
1045,Devadurga,Karemma,0.0,9262213.0,769568.0,PUC II (Vocational) Sri Veerabhadreshwara Education Trust (R.) Pre University College Humnabad,Raichur,Social Work,Rtd Govt Emplyee,Social Work / Activism,Unknown,46.0,F,IND,25226,16.02984069289377,ST,CWegmkQ3,2018,Higher Secondary Education
1046,Navalgund,Karigar Shivanand Basappa,0.0,8802000.0,6855000.0,10th pass S.P.M.R.New secondary School Byhatti,Dharwad,Shethi work,Housewife,Unknown,Education / Academia,41.0,M,IND,4555,2.854975994384065,GEN,dH6TvPVo,2018,Secondary Education
1047,Shivajinagar,Katta Subramanya Naidu,4.0,259227843.0,151507905.0,10th Class From Z P High School 49 Kothapalle Mitta S R Puram Mandal Year 1969,B.B.M.P(Central),"Business, Real Estate",Business,"Business / Entrepreneurship, Construction / Real Estate",Business / Entrepreneurship,67.0,M,BJP,44702,41.18709344537196,GEN,6MMmSiqH,2018,Secondary Education
1048,Nagthan,Katakadhond Deepak Gangaram,0.0,530360.0,4511000.0,"B.COM FROM KARNATAKA UNIVERSITY DARWAR, YEAR- 2008-2009",Bijapur,SOCIAL WORKER,HOUSEWIFE,Social Work / Activism,Not Given,30.0,M,HJP,931,0.5301580793585714,SC,PcVf34uc,2018,Graduate
1049,Nagthan,Kavita Deepak Katakadhond,0.0,530360.0,4511000.0,9TH PASSED FEOM SHREE BASAWESHWARA HIGH SCHOOL SANGLI,Bijapur,HOUSE WIFE,SOCIAL WORKER,Not Given,Social Work / Activism,27.0,F,BRMSC,506,0.2881417703065919,SC,Wt6SYZEF,2018,Secondary Education
1050,Gokak,Kareppa Lakkappa Talawar,3.0,7888500.0,251000.0,PUC KALA VIBAGA SARDHAR JONIAR COLLGE BELAGAVI,Belgaum,Agriculture,House wife,Agriculture / Farming,Not Given,60.0,M,JD(S),1553,0.8926313369352801,GEN,7QXjMqt2,2018,Higher Secondary Education
1051,Mandya,Kaveri Shreya M J,0.0,2688012.0,2397956.0,"MBA from Finance and IT, CV Raman University, Bilaspur (C.G.) in 2014",Mandya,working at Heera Group,Business,Business / Entrepreneurship,Business / Entrepreneurship,32.0,F,AIMEP,670,0.4052574594591325,GEN,5Wumcek5,2018,Postgraduate
1052,Chamaraja,Kaveriyamma N.K,0.0,1622272.0,,"T.C.H from Sarvodaya Teachers Teaching College, Kodagu, Year 1976",Mysore,Retired Teacher,Not Given,Not Given,Cound't Classify,61.0,F,IND,83,0.0590520369395392,GEN,4eiBCWUA,2018,Diploma Holder
1053,Turuvekere,Kapanigowda,0.0,1350000.0,,"BA,Baed,LLB,Bangalore,SJRC College,2001",Tumkur,Lawyer,Housewife,Law / Judiciary,Education / Academia,63.0,M,IND,393,0.2559610261887859,GEN,bbo7dzcm,2018,Graduate
1054,Hungund,Kashappanavar Vijayanand Shivashankrappa,4.0,97399168.0,20130516.0,2nd PUC in SJ Swatantra Papu college Hitnalli tanda Bijapur in 1992,Bagalkot,AGRICULTURE AND BUSINESS,AGRICULTURE,"Agriculture / Farming, Business / Entrepreneurship",Agriculture / Farming,47.0,M,INC,59785,38.19322443190893,GEN,QtddW4oK,2018,Higher Secondary Education
1055,Hadagalli,Kayannanavara Putrappa,0.0,3227000.0,,SSLC DHAVANAGERE ENGLISH MEDIUM HIGHSCHOOL HOOVINHADALAGI TALUK BELLARY,Bellary,AGRICULTURE,Not Given,Agriculture / Farming,Cound't Classify,32.0,M,JD(S),8327,5.948664461605504,SC,Cr2q4AxY,2018,Higher Secondary Education
1056,Sira,Kavitha R Manangi,0.0,320000.0,120000.0,SSLC and shrewd Course,Tumkur,Social service,Agriculture,Social Work / Activism,Agriculture / Farming,35.0,F,SJPL,1179,0.6540407402476367,GEN,DSeD3Gk9,2018,Secondary Education
1057,Raichur,Kavitha G H,0.0,3447790.0,3000000.0,"BA at Govt First Grade College, Siraguppa. Tq. Siraguppa, Di.Bellari.",Raichur,Social Service,"Manager At SBI Regional Business Office, Raichur",Social Work / Activism,"Business / Entrepreneurship, Banking / Finance",25.0,F,IND,778,0.6279662932231298,GEN,46WLci6f,2018,Graduate
1058,Sarvagnanagar,Kelachandra Joseph George,0.0,803782475.0,480874477.0,"BA Not completed from Mysore University Year 1969-70, Intermediate from Govt Junior College Ponampet Year 1966-67, High School from Govt Junior College Ponampet Year 1964-65",B.B.M.P(North),Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,68.0,M,INC,109955,61.74090773817879,GEN,FmtxXdsy,2018,Higher Secondary Education
1059,Shrirangapattana,Kempegowda,0.0,1151000.0,,"3rd PASS,GOVT>school,Bannahalli",Mandya,Agriculturist,Agriculture,Agriculture / Farming,Agriculture / Farming,70.0,M,IND,136,0.0769862160708726,GEN,X2UBsCy8,2018,Primary Education
1060,Jevargi,Kedarlingayya Hiremath,0.0,21077409.0,,BA Sb college gulbarga 1979-80 LLB sidhartha law college gulbarga 2008-09,Gulbarga,Social worker Agriculture,Household Agriculture,"Social Work / Activism, Agriculture / Farming",Agriculture / Farming,60.0,M,JD(S),35691,22.06607891385258,GEN,etPZK5bm,2018,Graduate
1061,Sarvagnanagar,Kempurajan,0.0,32000.0,,"PUC from V.V. Puram College of Science, V.V. Puram, Bengalore in 1995",B.B.M.P(North),Businessman,House Wife,Business / Entrepreneurship,Cound't Classify,41.0,M,RPSN,196,0.1100560949177667,GEN,f6erZ6dX,2018,Higher Secondary Education
1062,Honnali,Kathari Satyanarayana Rao,0.0,10265246.0,6000000.0,8th standard in Govt High School Shikaripura(1974).,Davangere,Business(Cloths Shop),Housewife,Business / Entrepreneurship,Education / Academia,58.0,M,BSP,1395,0.8618186535859688,GEN,SXkhQ83q,2018,Primary Education
1063,Raybag,Kempayya Mallayya Hiremath,0.0,5015000.0,400000.0,"B.A From B.K College , Belgavi,Year-1992",Belgaum,OWN AGRICULTURIST,HOUSE WIFE,Agriculture / Farming,Not Given,47.0,M,IND,339,0.2254004348433167,SC,T8Smzu2G,2018,Graduate
1064,Tarikere,Khaleel,0.0,120000.0,,"8th Standard in Govt. High School, Tarikere(1989)",Chikmagalur,Fruit Business,Housewife,Agriculture / Farming,Education / Academia,40.0,M,RPSN,2096,1.401135079849993,GEN,Zw8zbKZ3,2018,Primary Education
1065,Belgaum Rural,Kinekar Manohar Kallappa,4.0,14485585.0,3000000.0,"M.C.A Karnataka University Dharwad-2010, Bsc From G.S.S. College Belaum",Belgaum,Ex MLA Pension,House Wife,Politics / Public Service,Cound't Classify,63.0,M,IND,23776,12.754064768076214,GEN,3qJtip2j,2018,Postgraduate
1066,Tirthahalli,Kimmane Rathnakara,3.0,21487839.0,7113151.0,B S C IN B M S LAW COLLEGE BANGALORE 1977 AND LLB FROM BANGALORE UNIVERSITY,Shimoga,LAWYER,House Wife,Law / Judiciary,Cound't Classify,66.0,M,INC,45572,29.04154983431048,GEN,Tw7jdXia,2018,Graduate
1067,Kanakagiri,Kenchappa Hirekheda,0.0,141155.0,,"2nd Standard, Government Primary School.",Koppal,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming,34.0,M,CPI(ML)(L),843,0.5032655546666985,SC,cGxNsruS,2018,Primary Education
1068,Shimoga,Khaja Gareebun Nawab.M,0.0,768000.0,20000.0,P.U.C From Syadhri Science College in 1982-83,Shimoga,B.B.M.P Member,Not Given,Politics / Public Service,Cound't Classify,52.0,M,IND,59,0.0342318716130754,GEN,3TXuujoL,2018,Higher Secondary Education
1069,Bidar,Khayamuddin,0.0,165000.0,,PUC from Mysore University During 2012,Bidar,Computer Servicing,Unmarried,Information Technology,Cound't Classify,32.0,M,NDEP,568,0.4039168557063922,GEN,dWySNri8,2018,Higher Secondary Education
1070,Belgaum Dakshin,Kiran Krishna Saynak,1.0,13471900.0,3510158.0,B COM FROM GOGTE COLLEGE COMMERCE DHARWAD UNIVERSITY BELAGAVI YEAR 1983-84,Belgaum,Business,Profession Doctor,Business / Entrepreneurship,Medicine / Healthcare,55.0,M,IND,8295,5.653818627952152,GEN,AbBLri2h,2018,Graduate
1071,Basavanagudi,Kenchaiah.S.,1.0,611000.0,,"7th pass, Govt Primary School,Srinagar",B.B.M.P(South),Car Driver,House Wife,Transportation / Logistics,Cound't Classify,44.0,M,RPI(A),328,0.2522242642818144,GEN,VFdugF2o,2018,Primary Education
1072,Hunsur,Khalandar Shariff,0.0,4678614.0,680253.0,"SSLC From Govt.PU College, Hosanagar Year 1993",Mysore,Social Worker Electrical Shop,House wife,Social Work / Activism,Not Given,41.0,M,IND,240,0.1288742831368,GEN,bTVw6CqH,2018,Higher Secondary Education
1073,Haveri,Kenchamma Hanumantappa Naganoor,0.0,100500.0,,1st-5th Grade Passed,Haveri,Wages,Not Given,Cound't Classify,Cound't Classify,31.0,F,BBKD,239,0.1401011776705688,SC,mzeSEzWi,2018,Primary Education
1074,Devar Hippargi,Kiran Sidramayya Soulabavimath,0.0,2470000.0,400000.0,"PUC ,Year--2000-02, From-Chandrashekar Maharaja High School And Degree ,Udachana, SSLC ,Year-1999-2000",Bijapur,House Wife,Business,Cound't Classify,Business / Entrepreneurship,32.0,F,AIMEP,855,0.6147585185398227,GEN,kwahMbDK,2018,Higher Secondary Education
1075,Navalgund,Konareddy Ningareddy Hanamareddy,0.0,48752498.0,2269491.0,"S.S.L.C in Model High School, Navalgund (1980) and B.com in Karnataka University, Shankara Arts Institute, Navalgund(1987).",Dharwad,Agriculturist,Agriculturist and Housewife,Agriculture / Farming,Agriculture / Farming,,,NOTA,1914,1.1996540182768607,GEN,EtqEq9Jx,2018,Graduate
1076,Shikaripura,Koppalu Manjanna,1.0,32770000.0,2300000.0,"B.Com ,LLB,Banumaiah college batch -1978-79",Shimoga,Agriculturist,Doctor,Agriculture / Farming,Medicine / Healthcare,60.0,M,IND,319,0.2059619196425689,GEN,nqfccgsi,2018,Graduate
1077,Bhadravati,Komala Kumari R,0.0,159283.0,,"10th pass in government girls highschool,bhadravathi",Shimoga,BUSINESS.,Not Given,Business / Entrepreneurship,Cound't Classify,40.0,F,IND,74,0.0484049268366072,GEN,gn3vMGE5,2018,Secondary Education
1078,Karwar,Kishore Jagannath Sawant,0.0,10000.0,25000.0,"D.M.E from Technical Board Bangalore Year 1993, SSLC from KSEE Board, Bangalore Year 1996",Uttara Kannada,Daily Wages,Not Given,Unknown,Cound't Classify,40.0,M,IND,686,0.4284875513747829,GEN,V5afz3x5,2018,Diploma Holder
1079,Dasarahalli,Kiran. C. H,0.0,312000.0,,"Diploma, Shri KalaBairaveshvara Polytechnic, Collage. Hesharaghatta. 2011",Bangalore Urban,Network Engineer,Not Given,Engineering / Technology,Cound't Classify,25.0,M,IND,178,0.0822988186883047,GEN,C96PsyAU,2018,Diploma Holder
1080,Sindhanur,Kolla Sheshagirirao,3.0,46640397.0,7985135.0,"venkateshwara tutorial college ,prakasham nagar,guntoor district andra pradesh",Raichur,self employed,business,Business / Entrepreneurship,Business / Entrepreneurship,54.0,M,BJP,14795,9.050922527284294,GEN,oY3SVMLc,2018,Unknown
1081,Kudachi,Kiran Ajjappagol,0.0,4196600.0,,"PUC, 2011 Govt Pre-University Institute Handigunda",Belgaum,Agriculture and Social Work,Not Given,"Agriculture / Farming, Social Work / Activism",Cound't Classify,26.0,M,JAHP,368,0.2692952222051474,SC,MSnSvoAf,2018,Higher Secondary Education
1082,Malleshwaram,Kengal Shreepadharenu,0.0,110500946.0,963359.0,B.E Electronics UVCI Bangalore,B.B.M.P(North),Consultancy Business,Interior Business,Consulting / Advisory,Arts / Entertainment,59.0,M,INC,29130,23.555573525249667,GEN,mywzBCNk,2018,Graduate
1083,Jamkhandi,Komar Muttappa Hanamappa,0.0,11309261.0,740000.0,M. Sc From Karnataka University Dharwad Taluk Dharwad In 1990,Bagalkot,Agriculture,Household Work And Agriculture,Agriculture / Farming,Agriculture / Farming,53.0,M,JANSAMAP,1524,0.9921358262590492,GEN,7Z4jm5tt,2018,Postgraduate
1084,Byatarayanapura,Krishna Byregowda,0.0,124848680.0,17177519.0,"MA in international affairs american university Washington DC ,USA in the year 1999 BBM in Christ College , Bangalore in the year 1994",Bangalore Urban,Agriculture,"Senior Consultant CJI information System ltd,.",Agriculture / Farming,Consulting / Advisory,45.0,M,INC,114964,45.313331415125205,GEN,WWNk5o9f,2018,Postgraduate
1085,Kanakagiri,Koti Ramesh,0.0,44500.0,80000.0,"B.Sc. From First Grade College, Kushtagi, Year-2004, B.Ed. From Creshant College, Ramanagar, Year-2010",Koppal,Pensionner(Govt),Housewife,Unknown,Education / Academia,46.0,M,JAHP,160,0.0955189664847826,SC,37s9CEPT,2018,Postgraduate
1086,Mandya,Krishna C M,0.0,109086.0,32830.0,Diploma Paramedical (Failed),Mandya,Agriculture,Housewife,Agriculture / Farming,Education / Academia,35.0,M,IND,308,0.1862974589752429,GEN,6BmQrKvF,2018,Diploma Holder
1087,Chintamani,Krishna Reddy .M,0.0,304860.0,,"SSLC From Govt. High School In 1980, KSEEB Board",Chikkaballapur,Agriculture Labour,House Wife,Agriculture / Farming,Cound't Classify,49.0,M,IND,122,0.0674935549187311,GEN,K7kSPPve,2018,Higher Secondary Education
1088,Malleshwaram,Krishnaiah,0.0,180000.0,20000.0,"SSLC, Karnataka Secondary Education Board",B.B.M.P(North),Employed,House wife,Cound't Classify,Not Given,45.0,M,RMVP,106,0.0857154409089071,GEN,7qLf5RHh,2018,Higher Secondary Education
1089,Yelahanka,Krishna Murthy L S,0.0,80014400.0,20880876.0,"Has completed diploma in computer science, at SJ Polytechnic, Bengaluru-560001 in 1997",Bangalore Urban,Business,Homemaker,Business / Entrepreneurship,Not Given,39.0,M,IND,416,0.1697024088767414,GEN,RGhNig4b,2018,Diploma Holder
1090,Bailhongal,Koujalagi Mahantesh Shivanand,0.0,69225044.0,3280224.0,"LLB (Spl) from Karnataka University Law College, Karnataka University Dharwad Year 2002, B.Com from K R CE Society B M P Commerce College Bailhongal, Karnataka University Dharwad Year 1998",Belgaum,Advocate anf Agriculturist,Dairy,"Law / Judiciary, Agriculture / Farming",Medicine / Healthcare,47.0,M,INC,47040,32.486187845303874,GEN,S5a9cNVc,2018,Graduate
1091,Nagthan,Krishna Thavaru Chavan,0.0,3888000.0,220000.0,PUC 1 ST YEAR,Bijapur,BUSINESS AND SOCIAL WORKER,House Wife AND SOCIAL WORKER,"Business / Entrepreneurship, Social Work / Activism","Social Work / Activism, Hospitality / Tourism",43.0,M,AIMEP,614,0.349642385312742,SC,VTBqhju5,2018,Higher Secondary Education
1092,Manvi,Krishna Nayak,0.0,2968500.0,40000.0,"Diploma Electrical Engineer 2nd year Incomplete,Govt.Polytechnic Raichur,Year-1992-93, PUC Science From LVD College,Raichur,Gulbarga University,Gulbarga,Year-1990-91",Raichur,Agriculture and Social Service,House Wife,"Agriculture / Farming, Social Work / Activism",Cound't Classify,47.0,M,AIMEP,1240,0.8049177880339883,ST,YfHzyy8k,2018,Higher Secondary Education
1093,Shikaripura,Koteshwara,0.0,760000.0,,"SSLC,Govt Pre University College,1989",Shimoga,Press Reporter,Housewife,Media / Journalism,Education / Academia,44.0,M,IND,205,0.1323579734380145,GEN,RqMmz2ym,2018,Higher Secondary Education
1094,Hosakote,Krishna Murthy R,0.0,49708000.0,200000.0,10TH FROM VIDYAMANDIR DOORAVANINAGARA BANGALORE-16,Bangalore Rural,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,54.0,M,JD(S),1083,0.5609335425827804,GEN,AhhS7VhV,2018,Secondary Education
1095,Kumta,Krishna Jatti Gouda,5.0,18698723.0,1993241.0,"P.U.C from Shri S.P PU College Kavallaki, Honavara",Uttara Kannada,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,50.0,M,IND,5089,3.481395842027132,GEN,BriGcWTG,2018,Higher Secondary Education
1096,Harapanahalli,Krishnamurthy R,0.0,544500.0,,"S.S.L.C Fom Mahatma Ghandhi School, Davangere(1989-90).",Davangere,"Social Service, Printing and Electric Work",Housewife,Social Work / Activism,Education / Academia,44.0,M,NCP,733,0.4352369755483511,GEN,aiiPqiZa,2018,Secondary Education
1097,Khanapur,Krishnaji Patil,0.0,162032277.0,7285000.0,"S.S.L.C 1 to 5 Studied in Wadde Bail Marathi primary School, of Khanapur Taluka in the year 1977",Belgaum,Builder and Developer and Commercial Vehical Seller and Purchaser,House wife,"Business / Entrepreneurship, Construction / Real Estate, Transportation / Logistics",Not Given,50.0,M,IND,2153,1.3960666325160975,GEN,Pc9GRFsK,2018,Primary Education
1098,Ranibennur,Krishnappa Koliwad,0.0,196577168.0,148691383.0,"L.L.B FROM KARNATAKA LAW GREAT UNIVERSITY, DARWAD , YEAR - 1965-66 T0 1966-67, PUC AND DEGREE FROM J.J. COMMERCE COLLEGE , HUBBALLI, YEAR- FROM 1961-66 TO 1964-65",Haveri,AGRICULTURIST,HOUSE WIFE,Agriculture / Farming,Not Given,74.0,M,INC,59572,33.22087206740984,GEN,VWAHJdDx,2018,Graduate
1099,Turuvekere,Krishnappa,0.0,610000.0,,Unknown,Tumkur,Business,Housewife,Business / Entrepreneurship,Education / Academia,60.0,M,IND,238,0.1550094764196719,GEN,eQhiFr3N,2018,Unknown
1100,Navalgund,Krishnaraddy Govindaraddy Kencharaddi,3.0,6444131.0,,DIPLOMA EC KLE POLITENICAL HOBALI DARAVAD IN THE YEAR 1992 1993,Dharwad,Agriculture,Housewife,Agriculture / Farming,Education / Academia,51.0,M,IND,190,0.1190879119501585,GEN,htAgg7Mx,2018,Diploma Holder
1101,Kolar Gold Field,Kulasegar M,0.0,96000.0,,SSLC From Dr. B R Ambedkar High School Coramandel KGF Completed During The Year 1994,Kolar,Small Scale Business,Housewife,Business / Entrepreneurship,Education / Academia,39.0,M,IND,240,0.1719579562796896,SC,QsWqQ42U,2018,Higher Secondary Education
1102,Chintamani,Krishnareddy,0.0,299860.0,,SSLC at Rameshwara High School KSEEB Board-1987,Chikkaballapur,Agriculturist Labour,House Wife,Agriculture / Farming,Cound't Classify,49.0,M,IND,219,0.1211564633377222,GEN,62fs3UqG,2018,Higher Secondary Education
1103,Shirahatti,Kumar Bheemeshappa Lamani,0.0,2350000.0,,"PUC in Nagarasabhe College, Gadag(2001-02) and Jagadguru Tontadarya College, Gadag(2005).",Gadag,Journalist,Not Given,Media / Journalism,Cound't Classify,37.0,M,BBKD,250,0.1556623745361261,SC,nfMwHqnm,2018,Higher Secondary Education
1104,Sakaleshpur,Kumaraswamy,0.0,723000.0,600000.0,7th Standard by Office Deputy Director Of Public instruction (march 1999) At Vanagooru Higher Primary School Sakleshpur Taluk,Hassan,Driver,Housewife,Transportation / Logistics,Education / Academia,34.0,M,IND,531,0.3297972771539302,SC,FpAYKy7D,2018,Primary Education
1105,Varuna,L Madappa,0.0,38250000.0,300000.0,P.U.C,Mysore,Agriculture and Business,House wife,"Agriculture / Farming, Business / Entrepreneurship",Not Given,64.0,M,IND,835,0.4770120195603492,GEN,idpPHVTN,2018,Higher Secondary Education
1106,Gubbi,Kumar K,0.0,121333555.0,42735061.0,"8TH PASSED IN PVP HIGH SCHOOL K.H.B. COLONY, BANGALORE",Tumkur,BUSINESS,BUSINESS,Business / Entrepreneurship,Business / Entrepreneurship,44.0,M,INC,13938,8.967957791789988,GEN,FpKD7Jzf,2018,Primary Education
1107,Bilgi,Kusappa Shivalingappa Chalawadi,0.0,120000.0,,SSLC Pass From Govt. School Siddapur Bagalkot (SSLC Board Bangalore Karnataka) In 2011,Bagalkot,Service,House wife,Not Given,Not Given,30.0,M,IND,106,0.061159256395758,GEN,96BbTveP,2018,Higher Secondary Education
1108,Padmanaba Nagar,Kumar H,0.0,2434262.0,,2nd Class Govt Primary School Anekal Taluk,B.B.M.P(South),Business,Private employee,Business / Entrepreneurship,Cound't Classify,32.0,M,RMVP,129,0.079822781050443,GEN,4qvVE8tX,2018,Illiterate
1109,Rajarajeshwarinagar,L Kumar,0.0,7911719.0,,"SSLC, SRI SWARNABHA HIGH SCHOOL ,HONUDIKE, TUMKUR DIST TALUK 1980 TO 81 YEAR",B.B.M.P(Central),EX ARMY,House Wife,Military / Defense,Cound't Classify,52.0,M,BPKP,319,0.1243926596632429,GEN,KfKmWQjb,2018,Higher Secondary Education
1110,Hebbal,Kumaresh,0.0,75000.0,0.0,Unknown,B.B.M.P(North),Mastri,Home maker,Consulting / Advisory,Construction / Real Estate,49.0,M,RPSN,80,0.0545367782398254,GEN,k3LpQ6m9,2018,Unknown
1111,Krishnarajanagara,Kumudwathi. S,0.0,1160750.0,465000.0,"BAL,LLB From Vidyavardhaka Law College of Mysore , in the Year 2006 TO 2011 and MSW From Sharadhavikas trust and Open University Mysore in the Year 2011 to 2013",Mysore,House wife,Sr.Software Engineer,Not Given,Engineering / Technology,30.0,F,RCMP,186,0.1062753903906477,GEN,YkFTwYBk,2018,Postgraduate
1112,Belgaum Uttar,Kurshidabanu Aslam Nadaf,0.0,460000.0,40000.0,"1th to 10th Std. Yalemunoli Govt. High School, Tal. Hakkeri, Dist. Begaum (Primary Higher Secondary) in 1981-1990",Belgaum,Social Work,Not Given,Social Work / Activism,Cound't Classify,48.0,F,ASP,137,0.0929279774259628,GEN,2S7SV4XD,2018,Higher Secondary Education
1113,Bommanahalli,Kupendra,0.0,6015000.0,,7th Standard Absent From Govt.Primary School Agara,B.B.M.P(South),Labour,House Wife,Cound't Classify,Cound't Classify,43.0,M,IND,243,0.1242903176308117,GEN,FQjuWjKM,2018,Primary Education
1114,Aland,Kushal Chattru Rathod,0.0,49000.0,51000.0,8TH PASS FROM SHANTHINIKETAN HIGH SCHOOL NEW RAGHAVENDRA COLONY KALBURGI,Gulbarga,SOCIAL WORKER,House Wife,Social Work / Activism,Cound't Classify,45.0,M,NDEP,344,0.2141847592600663,GEN,DGqxGHnN,2018,Primary Education
1115,Karwar,Kundabai Parulekar,0.0,9521000.0,850000.0,"SSLC KSEE board Bangalore, PUC in 1973 PU board Bangalore in 1984 and BA Dharwad university in 1997",Uttara Kannada,Retired Government officer And LIC Advisor,Retired Government officer,Politics / Public Service,Politics / Public Service,62.0,F,RJBP,1617,1.0100063710977027,GEN,5ffxKBpJ,2018,Graduate
1116,Shimoga Rural,L.Rangaswamy,0.0,5300000.0,400000.0,PUC Syhadri Arts College Shimoga,Shimoga,Agriculturist,Anganvadi Work,Agriculture / Farming,Social Work / Activism,52.0,M,RPSN,421,0.2444150294923598,SC,fhQBSrEV,2018,Higher Secondary Education
1117,Ramdurg,Lakkannavar Maningappa Fakirappa,0.0,1910000.0,521000.0,"1st Class in Govt School, Battakurki Taluk, Ramdurga.",Belgaum,Agriculturist,House Wife,Agriculture / Farming,Cound't Classify,57.0,M,IND,324,0.2141044618312539,GEN,K4qa2Hbz,2018,Unknown
