,constituency,cases,assets,liabilities,education_category,education,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category,name,age,gender,party,votes,percent_votes,constituency_category,total_electors,voter_turnout,const_num
176,Krishnarajanagara,0,438108868,142869554,Graduates,"Bsc,Mysore University,1989",Mysore,Agriculture and Business,Agriculture and Business,"Agriculture / Farming, Business / Entrepreneurship","Agriculture / Farming, Business / Entrepreneurship",Sa. Ra. Mahesh,52,M,JD(S),85011,48.5729957661255,GEN,204182,175017.0,211
177,Gubbi,0,55842795,15733895,Graduates,"Primary school MH village ,high school chidabara ashrama 1979-1980,PUC nijalingappa colleg ,BA gvt college tumkur",Tumkur,Farming and business,home maker,"Agriculture / Farming, Business / Entrepreneurship",Not Given,S R Srinivas (Vasu),56,M,JD(S),55572,35.7560159567623,GEN,182902,155420.0,135
178,Bantval,1,215387804,63176074,Higher Secondary Education,"PUC- St.Ellocious JR College Mangalore Dergee J.S.S College ,Mysore In year 1976-1978",Dakshina Kannada,AGRICULTURE AND BUSINESS,AGRICULTURE,"Agriculture / Farming, Business / Entrepreneurship",Agriculture / Farming,Rajesh Naik U.,59,M,BJP,97802,53.573991399852,GEN,221765,182555.0,205
179,Jagalur,0,104266352,26073617,Higher Secondary Education,"SSLC in GOvt Boys,Davanagare ear1975 And 1st PUC in Davanagare Year 1977",Davangere,"Buisness,social Worker And Agricultarist",Housewife,"Business / Entrepreneurship, Social Work / Activism, Agriculture / Farming",Education / Academia,S.V.Ramachandra,60,M,BJP,78948,53.2227727778339,ST,190117,148335.0,103
180,Bommanahalli,0,870008728,135544618,Secondary Education,"Completed 10th Standard in R. S. H. S. High School, Madivala, Bangalore, 1986-1987.",B.B.M.P(South),"Social Worker and Director of M. S, Shelters Private Limited and Partners of M.S, South West Ventures.","Director of M. S, Shelters Private Limited and Director of M. S. R, Hospitality Services Private Limited, and Director of M. S. Infra Works India Private Limited.","Social Work / Activism, Business / Entrepreneurship",Business / Entrepreneurship,Sathish Reddy M,45,M,BJP,111863,57.2159991816275,GEN,414080,195510.0,175
181,Shahapur,0,63274991,12500000,Graduates,"BE ,HKI Society Gulbargha",Yadgir,agriculturist,private job,Agriculture / Farming,Cound't Classify,Sharanabasappa Gouda Darshanapur,58,M,INC,78642,50.2729655436936,GEN,225803,156430.0,37
182,Davanagere South,1,1832267262,634711338,Higher Secondary Education,"Intermediate from DRM Science College, Davangere Year 1951, SSLC from Govt. High School, Davangere Year 1949",Davangere,Industrialist and Businessman,Not Given,Business / Entrepreneurship,Cound't Classify,Shamanur Shivashankarappa,86,M,INC,71369,52.4490530818016,GEN,206760,136073.0,107
183,Bagepalli,0,1575719617,313176868,Secondary Education,"SSLC from Govt High School Gulur Bagepalli Taluk Year 1983, TCH from Venkatesh TCH Training College, Marathahalli Bangalore Year 1986",Chikkaballapur,Hotel Business,Hotel Business,Hospitality / Tourism,Hospitality / Tourism,S.N. Subbareddy(Chinnakayalapalli),52,M,INC,65710,39.938490712827,GEN,197982,164528.0,140
184,Sorab,0,276801920,11236012,Graduates,"BA ,Bangalore University , In Year 1985",Shimoga,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,S.Kumara Bangarappa,55,M,BJP,72091,46.1547818738235,GEN,184621,156194.0,116
185,C.V. Raman Nagar,0,317602361,5500000,Postgraduates,"Bachelor of Civil Engineer (BE) from Dayananda Sagar College, Bangalore University, Bangalore Year 1995, Diploma in Civil Engineering from Acharya Pata Shala at Bangalore in 1990",B.B.M.P(North),"Businessman, Social Services-MLA",House wife,"Business / Entrepreneurship, Social Work / Activism",Not Given,S. Raghu,48,M,BJP,58887,44.6076463325026,SC,269010,132011.0,161
186,Puttur,2,8969094,3084134,Graduates,"B.COM GRADUATE , FROM VIVEKANANDA UNIVERSITY, PUTTUR , UNIVERSITY-MANGALORE UNIVERSITY, YEAR-1983",Dakshina Kannada,AGRICULTURIST,HOUSE WIFE,Agriculture / Farming,Not Given,Sanjeeva Matandoor,53,M,BJP,90073,54.1724052901588,GEN,201948,166271.0,206
187,Yeshvanthapura,0,141599587,12420000,Graduates,Bsc Govt.science college bengaluru,Bangalore Urban,"Private Buss business ,and buildings",housewife,"Business / Entrepreneurship, Construction / Real Estate",Not Given,S.T Somashekhar,60,M,BJP,144722,,GEN,474817,287205.0,153
188,Yemkanmardi,0,425114222,113301242,Higher Secondary Education,"SSLC Education from govt P.U College Gokak in the year April 1978, P.U.C from J.S.S. Arts, Science Commerce College Gokak in the Year 1981",Belgaum,Agriculture and Business,Agriculture and Business,"Agriculture / Farming, Business / Entrepreneurship","Agriculture / Farming, Business / Entrepreneurship",Satish. L. Jarkiholi,56,M,INC,73512,49.1613835165717,ST,188279,149532.0,10
189,Nippani,1,344876993,169184250,Secondary Education,SSLC from High School Ghataprabha Year 1985,Belgaum,Business Agriculture,Business Agriculture,"Business / Entrepreneurship, Agriculture / Farming","Business / Entrepreneurship, Agriculture / Farming",Jolle Shashikala Annasaheb,49,F,BJP,87006,50.5111726492153,GEN,212456,172251.0,1
190,Basavana Bagevadi,0,144016624,31919726,Diploma Holders,"Diploma in Pharmacy from Kle's J N Medical College, Belgaum in 1981",Bijapur,Medical Business Agriculture,Private Job Agriculture,"Business / Entrepreneurship, Medicine / Healthcare, Agriculture / Farming",Agriculture / Farming,Shivanand Patil,56,M,INC,58647,39.7865729559577,GEN,201271,147404.0,28
191,Devadurga,3,106746422,46125000,Higher Secondary Education,SSLC From Govt High School Kustagi In 1994 First PU From Govt. College Devadurga In 1995,Raichur,Agriculture Present MLA,House Wife,"Agriculture / Farming, Politics / Public Service, Not Given",Cound't Classify,Shivana Gouda Nayak,41,M,BJP,67003,42.5770005528407,ST,227846,157369.0,56
192,Jayanagar,0,5489064,560645,Diploma Holders,"B.E in Chemical, R.V College of Engg, Vishveshvaraya Technical University, Belgaum Passed Yr 2006",B.B.M.P(South),Environmentalist Social Worker,Lead Investigator -People for ethical treatment of animals - PETA,"Environmental Conservation, Social Work / Activism",Social Work / Activism,Sowmya R,,,INC,54458,54458.0,GEN,203184,111584.0,173
193,Jamkhandi,1,97342544,,Graduates,"B.Sc.-2 From Karnataka University, Dharwad, Year-1969",Bagalkot,Agriculture Director of Jamakandi Sugars Ltd.,House Wife LPG Indian Oil Corporation Distributor,Agriculture / Farming,Hospitality / Tourism,Siddu Bhimappa Nyamgoud,69,M,INC,49245,32.0588771418155,GEN,203821,153608.0,21
194,Aland,0,64654717,13984756,Secondary Education,"S S L C from S V V High School, Tadkal",Gulbarga,Social Worker Agriculture,Business,"Social Work / Activism, Agriculture / Farming",Business / Entrepreneurship,Guttedar Subhash Rukmayya,66,M,BJP,76815,47.82733221675,GEN,233841,160609.0,46
195,Badami,0,203654358,48632239,Graduates,"L.L.B Sharda Vilas Law College, Mysore 1972",Bagalkot,Polltician,House wife,Politics / Public Service,Not Given,Siddaramaiah,69,M,INC,67599,41.2377611712673,GEN,217721,163925.0,23
196,Terdal,0,63308781,1687258,Secondary Education,"SSLC from Sri, Prabhulingeshwar High School Terdal in 1976",Bagalkot,Agriculturist at Present MLA Government of Karnataka,House Wife Business,"Agriculture / Farming, Politics / Public Service",Business / Entrepreneurship,Siddu Savadi,59,M,BJP,87583,50.4481308680375,GEN,220421,173610.0,20
197,Navalgund,0,118504695,22295112,Higher Secondary Education,PUC,Dharwad,bus and commercial business,commercial business,"Transportation / Logistics, Business / Entrepreneurship",Business / Entrepreneurship,Shankar B. Patil Munenakoppa,49,M,BJP,65718,41.190628408108,GEN,204041,159546.0,69
198,Kagwad,1,525981520,159103058,Doctorates,"College of Agriculture, Kolhapur, Mahatma phule krishi Vidyapit, Rahuri Year of pass 1974., SSLC,Shri Siddeshwara High School, Mole Karnataka Secondary Education, Bangalore Year of pass 1970",Belgaum,Business Agriculture,Agriculture,"Business / Entrepreneurship, Agriculture / Farming",Agriculture / Farming,Shrimant Balasaheb Patil,63,M,BJP,76952,,GEN,182173,145735.0,4
199,Devar Hippargi,0,48598806,,Graduates,B E in Civil Dr.P.G.Halakatti collage of Engineering and technology Vijapura. Karnataka University Dharavada. December 1991,Bijapur,Business in partnership Agriculture,Housewife,"Business / Entrepreneurship, Agriculture / Farming",Education / Academia,Somanagouda B Patil (Sasanur),53,M,BJP,48245,34.6889178093026,GEN,208670,139079.0,27
200,Challakere,0,63746595,144081929,Graduates,"B.E( civil ) from Govt B.D.T College, Davangere , Mysore University Year 1985, PUC from Govt Science College, Chitradurga Year 1981",Chitradurga,Agriculture and Social Service,House Wife and Business,"Agriculture / Farming, Social Work / Activism",Business / Entrepreneurship,T Raghumurthy,55,M,INC,72874,43.1207100591716,ST,208942,169000.0,98
201,Bhatkal,1,88361784,,Graduates,"Anjumaan PU collage, bhatkal march 2001",Uttara Kannada,Business,Not Given,Business / Entrepreneurship,Cound't Classify,Sunil Biliya Naik,39,M,BJP,83172,50.1380466103227,GEN,214750,165886.0,79
202,Hukkeri,0,277855843,58154039,Higher Secondary Education,"PUC 1st Year Pass from KLE Societies R L S College, Belgaum in 1979-80",Belgaum,Agriculturist and Industrialist,House wife Agriculturist,"Agriculture / Farming, Business / Entrepreneurship","Unknown, Agriculture / Farming",Umesh Vishwanath Katti,57,M,BJP,83588,52.9416608080462,GEN,194888,157887.0,7
203,Chincholi,0,32655892,372641,Postgraduates,MS in General Surgery from Bangalore Medical College in 1991,Gulbarga,Doctor,Housewife,Medicine / Healthcare,Education / Academia,Dr. Umesh G Jadhav,58,M,INC,73905,55.5685047895457,SC,193648,132998.0,42
204,Hebbal,0,4167970876,416925397,Higher Secondary Education,"PUC (Pre University Course) from National College, Bangalore Year 991",B.B.M.P(North),Agriculturist and Land Lord,Business,Agriculture / Farming,Business / Entrepreneurship,Suresh B S,46,M,INC,74453,50.7553343786215,GEN,265312,146690.0,158
205,Mangalore,0,24716913,,Postgraduates,B.A In 1994 LLB In 2003 From Mangalore University S.D.M. Law College Mangalore,Dakshina Kannada,Advocate,Business,Law / Judiciary,Business / Entrepreneurship,U.T.Abdul Khader,49,M,INC,80813,54.1069109120368,GEN,195746,149358.0,204
206,Doddaballapur,0,189354272,22481700,Secondary Education,"SSLC in 1980 from Govt. High school Doddabelamangala Village, Doddabalapura taluk, Bangalore rural district",Bangalore Rural,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,T Venkataramanaiah,57,M,INC,73225,43.3907926782296,GEN,203231,168757.0,180
207,Moodabidri,3,16083941,4712942,Secondary Education,SSLC 1979 SVS HIGH SCHOOL BANTVALA,Dakshina Kannada,BUSINESS,HOUSEWIFE,Business / Entrepreneurship,Not Given,Umanatha. A. Kotian,58,M,BJP,87444,57.4356144948669,GEN,200066,152247.0,201
208,Narasimharaja,0,100413484,8334235,Graduates,"Bachelor of Business Management From Vidya Vardhaka College of Commerce Management, University of Mysore In 1992",Mysore,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,Tanveer Sait,51,M,INC,62268,38.4643419711523,GEN,262066,161885.0,218
209,Nagamangala,2,211766700,41337831,Graduates,"B.E. from PES College, Mandya, Mysore University (1987-88)",Mandya,Agriculturist,Assistant Professor of Economics,Agriculture / Farming,"Education / Academia, Consulting / Advisory",Suresh Gowdaa,54,M,JD(S),112396,61.9357256215834,GEN,206678,181472.0,191
210,Chickpet,0,1960885154,596992692,Graduates,Bachelor Of Engineering (Electronics) From Bangalore University In 1987,B.B.M.P(Central),Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,Uday B.Garudachar,58,M,BJP,57312,44.4554762643499,GEN,223686,128920.0,169
211,Pavagada,0,18095560,8296219,Secondary Education,SSLC,Tumkur,Agriculture and social worker,Agriculture,"Agriculture / Farming, Social Work / Activism",Agriculture / Farming,Venkataramanappa,69,M,INC,72974,44.7937831085684,SC,197250,162911.0,137
212,Yadgir,0,134194847,12021111,Graduates,B.COM AT GULBARAGA SB COMMERCE COLLEGE,Yadgir,AGRICULTURIST AND BUSINESS,HOUSE WIFE,"Agriculture / Farming, Business / Entrepreneurship",Not Given,Venkatreddy Mudnal,63,M,BJP,62227,43.078872127879,GEN,235682,144449.0,38
213,Govindraj Nagar,1,529229341,21725189,Graduates,"BA IN V.V Puram Evening college, Vishweshwarapuram, Bangalore-1971-72 to 1973-74",B.B.M.P(South),"The current procedure council member, Karnataka",Agriculturist,Politics / Public Service,Agriculture / Farming,V Somanna,67,M,BJP,79135,50.3304055815964,GEN,292976,157231.0,166
214,Sindhanur,2,61869813,,Graduates,"B.A. from LVD College, 1980",Raichur,empoyed and former counsellor,self employed,Unknown,Business / Entrepreneurship,Venkatrao Nadagouda,61,M,JD(S),71514,43.7490823667596,GEN,234521,163464.0,58
215,Sidlaghatta,0,83191618,5100000,Graduates,B.S.E.. in Vishwavidyalaya Bangalore,Chikkaballapur,Agriculturist Business,House Wife,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify,V. Muniyappa,70,M,INC,76240,44.7622738107819,GEN,198207,170322.0,142
216,Karkal,1,29189224,,Graduates,"BE ,Kuvempu University, Nilaya in 1997",Udupi,"Agriculturist , Factory",Housewife,Agriculture / Farming,Education / Academia,V. Sunil Kumar,42,M,BJP,91245,62.5244115530887,GEN,181031,145935.0,122
217,Bagalkot,3,152409857,21656365,Secondary Education,"S.S.L.C. from G.B. High School, Naragund in 1974",Bagalkot,"Business Proprietor M s C.V. Charantlmath, APMC Yard, Bagalkot, Social Service",Household,"Business / Entrepreneurship, Agriculture / Farming, Social Work / Activism",Not Given,Veerabhadrayya (Veeranna) Charantimath,59,M,BJP,85653,53.0323012054906,GEN,230918,161511.0,24
218,Byadgi,0,151880644,38566611,Primary Education,7 th Higher Primary School Motebennur in year 75-76,Haveri,Agriculture and Business,Agriculture,"Agriculture / Farming, Business / Entrepreneurship",Agriculture / Farming,Ballary Virupakshappa Rudrappa,56,M,BJP,91721,54.9777322232412,GEN,200878,166833.0,85
219,Sringeri,0,210165860,76900000,Graduates,B.COM Hali mangalore universiry kundapura -1980,Chikmagalur,Landowner Ploter,Landowner Ploter,Construction / Real Estate,Construction / Real Estate,T D Rajegowda,58,M,INC,62780,45.8070965247021,GEN,166026,137053.0,123
220,Indi,3,9075288,,Higher Secondary Education,"PUC From J.S.M College Dharwad, Year-1987",Bijapur,Social Service MLA,House Wife,Social Work / Activism,Cound't Classify,Yashvantharaygouda Vittalagouda Patil,50,M,INC,50401,29.9807865041549,GEN,232095,168111.0,32
221,Saundatti Yellamma,0,82702311,8926404,Higher Secondary Education,PUC From S.K. Composite Pre-University College Saundatti In 1984 B.Com (Incomplete) From S.V.S. Bellubbi College Saundatti(Karnataka University) In 1958,Belgaum,"Agriculturist, Member of legislative assembly Director of BDCC Bank","Agriculturist, 1 2 sharer of shri lakshmi ginning and pressing factory","Agriculture / Farming, Politics / Public Service, Business / Entrepreneurship",Agriculture / Farming,Anand Vishwanath Chandrashekhar Mamani,53,M,BJP,62480,40.6487668095792,GEN,191740,153707.0,17
222,Varuna,0,230030043,87973669,Doctorates,MBBS From Bangalore Medical College In 2005 MD From Jawaharlala Neharu Medical Colleg Belgaum In 2009,Mysore,Doctor,Not Given,Medicine / Healthcare,Cound't Classify,Yathindra S,37,M,INC,96435,55.0906037201224,GEN,221053,175048.0,219
223,Athani,,,,Unknown,Not Available,Belgaum,Not Available,Not Available,Cound't Classify,Cound't Classify,Mahesh Iranagouda Kumathalli,56,M,BJP,99203,,GEN,214688,170565.0,3
