,constituency,name,party,age,cases,assets,liabilities,education_category,education,constituency_category,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category
192,Shimoga Rural,Sharada Puryanaik,JD(S),52.0,0.0,30098390.0,13903581.0,Higher Secondary Education,1st PUC from DVS Senior College Shimogga 1987-88,SC,Shimoga,PETROL BANK PARTNERSHIP,DIED,Banking / Finance,Cound't Classify
193,Basavakalyan,B. Narayanrao,BJP,47.0,1.0,46520057.0,4607167.0,Postgraduates,M.Ed from Gulbarga University Gulbarga in 2011,GEN,Bidar,Social Work,State Government Employee,Social Work / Activism,Law Enforcement / Security
194,Gurmitkal,Sharana Gowda Kandakur,JD(S),41.0,3.0,25519688.0,3053900.0,Graduates,"B.A. from Gulbarga University, Chandrashekhar Education Society Degree College of Arts, Science BBM, Yadgiri Karnataka in 2005",GEN,Yadgir,Business and Agriculture,Retail Business,"Business / Entrepreneurship, Agriculture / Farming",Business / Entrepreneurship
195,Honnali,Shanthana Gowda.D.G.,INC,74.0,2.0,203970523.0,42268521.0,Graduates,"B.Sc. in 1968-69, P.C. Jabin Science College, Karnataka University, Hubli.",GEN,Davangere,Agriculture,House wife,Agriculture / Farming,Not Given
196,Hosakote,N Nagaraju (M.T.B),INC,41.0,4.0,1077459876.0,,Technical/Professional Courses,"MS, USA 2005-06",GEN,Bangalore Rural,Social Service and Businessman,Social Service and Business woman,"Social Work / Activism, Business / Entrepreneurship","Social Work / Activism, Business / Entrepreneurship"
197,Nelamangala,Shreenivasaiah N,INC,37.0,0.0,63520035.0,15287028.0,Postgraduates,"Master of Arts, Bangalore University Bangalore Year of Completion 2008-09, Post Graduation Diploma in Ambedkar Studies, Bangalore University, Bangalore Year of Completion 2010-11",SC,Bangalore Rural,Business Contractor,Business,Business / Entrepreneurship,Business / Entrepreneurship
198,Shahapur,Sharanabasappa Gouda Darshanapur,INC,63.0,0.0,152729887.0,9139612.0,Graduates,"Bachelor of Engineering (BE-Civil) from HKE Society (PDA), Gulbarga Gulbaraga University Gulbaraga In 1985",GEN,Yadgir,"Agriculture Business, MLA",Business,"Agriculture / Farming, Politics / Public Service",Business / Entrepreneurship
199,Basavana Bagevadi,Shivanand Patil,INC,61.0,0.0,353912438.0,36954844.0,Diploma Holders,"Diploma in Pharmacy from KLEs J N Medical College, Belgaum in 1981",GEN,Bijapur,Medical Business and Agriculture,"Private Job, Agriculture","Medicine / Healthcare, Business / Entrepreneurship","Engineering / Technology, Agriculture / Farming"
200,Sringeri,T D Rajegowda,INC,63.0,0.0,328053245.0,,Graduates,"B.Com. From Bandakar Graduate College, Mangalore in 1980",GEN,Chikmagalur,"Landlord , Planter , Partnership Firm Partner","Landlord , Planter , Partnership Firm Partner","Agriculture / Farming, Construction / Real Estate","Agriculture / Farming, Construction / Real Estate"
201,Kanakagiri,Tangadagi Shivaraj Sangappa,INC,53.0,0.0,170242177.0,82200342.0,Graduates,"B.Sc ,SVM Collage 1991-92",SC,Koppal,Agriculture and Business,Housewife and Busines partner,"Agriculture / Farming, Business / Entrepreneurship",Business / Entrepreneurship
202,Terdal,Siddu Savadi,BJP,63.0,2.0,138276813.0,56814596.0,Secondary Education,"SSLC From Sri Prabhulingeshwar High School, Theradala, Year-1976",GEN,Bagalkot,Social Service,Social Service,Social Work / Activism,Social Work / Activism
203,Varuna,Siddaramaiah,INC,75.0,13.0,519388910.0,238647976.0,Postgraduates,"LLB from Sharada Vilas Law College, Mysore in 1972",GEN,Mysore,Politician,Director in Prasiddh YS Diagnostics Pvt. Ltd. Partner in BMMN Enterprises PRY Projects LLP,Politics / Public Service,Business / Entrepreneurship
204,Hebbal,Suresha B S,INC,51.0,2.0,6481494854.0,1148674685.0,Higher Secondary Education,"PUC from National College, Bangalore in 1991",GEN,B.B.M.P(North),Agriculturist and Land Lord,Agriculturist and Business,Agriculture / Farming,"Business / Entrepreneurship, Agriculture / Farming"
205,Sira,T B Jayachandra,INC,74.0,6.0,396849065.0,20534123.0,Postgraduates,"Bachelor of Laws from Vidyodaya Law College, Tumkur in 1972, Bangalore University, Bachelor of Science from Government First College at Tumkur, Mysore University in 1969",GEN,Tumkur,"Social Worker, Agricultist and Non Practicing Advocate",Agriculturist,"Social Work / Activism, Agriculture / Farming, Law / Judiciary",Agriculture / Farming
206,Humnabad,Siddu Patil,BJP,45.0,3.0,88073491.0,65320101.0,Graduates,Bachelor of Dental Surgery from Rajiv Gandhi University of Health Sciences Karnataka HKDETs Dental College Hospital Humnabad in 2004,GEN,Bidar,"Business, Agriculture and Social Work",Agriculture Social Service,"Business / Entrepreneurship, Agriculture / Farming, Social Work / Activism","Social Work / Activism, Agriculture / Farming"
207,Mangalore,U.T.Abdul Khader,INC,54.0,3.0,69767074.0,6980832.0,Graduates,"L.L.B, Degree. (Mangalore University) S.D.M Law College, Mangalore in Year 2003",GEN,Dakshina Kannada,Advocate,Business,Law / Judiciary,Business / Entrepreneurship
208,Challakere,T Raghumurthy,INC,59.0,0.0,221827134.0,,Graduates,"BE ,Civil ,Government B.D.T College ,Davangere Mysuru University in 1985",ST,Chitradurga,"Agriculture , Social Service","House Wife , Business","Agriculture / Farming, Social Work / Activism",Business / Entrepreneurship
209,Maddur,Udaya K M,INC,48.0,3.0,1026371651.0,32245730.0,Secondary Education,"SSLC From S.C.M.M. High School, Somanahalli-1991",GEN,Mandya,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
210,Chickpet,Uday B.Garudachar,BJP,63.0,3.0,2415933555.0,507445439.0,Graduates,Bachelor of Engineering (Electronics) from Bangalore University in 1987,GEN,B.B.M.P(Central),Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
211,Karkal,V. Sunil Kumar,BJP,47.0,1.0,79837365.0,,Graduates,B.A. From Kuvempu University in 1997,GEN,Udupi,Agriculture and wage,Agriculture and house wife,Agriculture / Farming,Agriculture / Farming
212,Shikaripura,Vijayendra Yediyurappa,BJP,47.0,2.0,1261878468.0,349778318.0,Graduates,LLB from Bangalore University- Sri Jagadguru Renukacharya College of Law In 2000,GEN,Shimoga,"Agriculture, Educationist Business",Business,"Agriculture / Farming, Education / Academia, Business / Entrepreneurship",Business / Entrepreneurship
213,Saundatti Yellamma,Vishwas Vasant Vaidya,INC,41.0,1.0,42123113.0,14237007.0,Graduates,"Bachelor of Commerce from C.S.I. College of Commerce, Karnataka University Dharwad in 2004",GEN,Belgaum,Business,Housewife,Business / Entrepreneurship,Education / Academia
214,Hirekerur,Ujaneshwar Basavannappa Banakar,INC,63.0,0.0,57439041.0,891826.0,Graduates,LLB University Law College Dharwad in 1984,GEN,Haveri,Lawyer and Agriculture,House Wife,"Law / Judiciary, Agriculture / Farming",Cound't Classify
215,Moodabidri,Umanatha. A. Kotian,BJP,62.0,1.0,49311245.0,5136730.0,Secondary Education,SSLC 1979,GEN,Dakshina Kannada,Social Service,Housewife,Social Work / Activism,Education / Academia
216,Dharwad,Vinay Kulkarni,INC,56.0,7.0,190270292.0,,Diploma Holders,"B.S.C(Agri), Agriculture University Dharwad- Incomplete",GEN,Dharwad,"Agriculture Vinaya Dairy Partnership, And Vinaya Goat Farm Owner, And Business, And Social Service",Vinaya Dairy Partnership,"Business / Entrepreneurship, Agriculture / Farming, Social Work / Activism",Hospitality / Tourism
217,Narasimharaja,Tanveer Sait,INC,56.0,1.0,90426367.0,4498975.0,Graduates,"Bachelor of Business Management from University of Mysuru, Vidya Vardhaka College of Commerce and Management, Mysuru in 1991",GEN,Mysore,"Legislator, Business",Business Women,"Politics / Public Service, Business / Entrepreneurship",Business / Entrepreneurship
218,Mudhol,Timmapur Ramappa Balappa,INC,61.0,1.0,5856080.0,3469000.0,Postgraduates,"BA LLB(Spl)-1991-KPES Law College, Dharwad",SC,Bagalkot,Advocate,House Wife,Law / Judiciary,Cound't Classify
219,Kudligi,Srinivas N T,INC,47.0,0.0,159229538.0,30980000.0,Doctorates,"MD(Ophthalmology) - All India Institute of Medical science (AIIMS), New Delhi in 2004",ST,Bellary,Doctor,Doctor,Medicine / Healthcare,Medicine / Healthcare
220,Khanapur,Ithal Somanna Halagekar,BJP,60.0,0.0,33375869.0,26669779.0,Postgraduates,"B.Ed. From Sangoli Rayanna College, Belagavi, Year-1987-88 B.Sc. From GSS College Belagavi, Year-1986-87",GEN,Belgaum,Retired Private Servant Agriculture,Anganwadi Worker,Unknown,Social Work / Activism
221,Indi,Yashvantharaygouda Vittalagouda Patil,INC,56.0,3.0,116872478.0,35881940.0,Higher Secondary Education,PUC - JSS college Dharward passed in 1987,GEN,Bijapur,Agriculture Member of Parliment,House wife,"Agriculture / Farming, Politics / Public Service",Not Given
222,Udupi,Yashpal,BJP,44.0,1.0,69526672.0,28534604.0,Graduates,"PUC from Poorna Prajna Evening College, Udupi in 1995-97, Diploma in Information Technology from MAHE, Manipal in 2000-2001",GEN,Udupi,Business,Unmarried,Business / Entrepreneurship,Cound't Classify
223,Sarvagnanagar,K.J. George,INC,,,,,Unknown,Not Available,,B.B.M.P(North),Not Available,Not Available,Cound't Classify,Cound't Classify
