,constituency,name,party,age,cases,assets,liabilities,education_category,education,constituency_category,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category
1112,Hubli-Dharwad Central,Kalal Takappa S O Yallappa,IND,74,0,,,Primary Education,6th standard from Government High Primary School Annigeri In April 1960,GEN,Dharwad,Private Business,Pothi,Business / Entrepreneurship,Cound't Classify
1113,Nagthan,Kallappa Toravi,BSP,62,0,28979392.0,1209298.0,Graduates,"B.A. from S.B. Arts K.C.P. Science College Bijapur, Karnataka University Dharwar in 1983",SC,Bijapur,Retired. Bank Employee,"Assistant Teacher in Govt Urdu School-No 12, Vijayapur",Banking / Finance,Education / Academia
1114,Byatarayanapura,Kalid Khan,IND,36,1,1019.0,,Secondary Education,"SSLC from Gyna Gangothri Public School, Karnataka Secondary Education in 2003",GEN,Bangalore Urban,Business,House wife,Business / Entrepreneurship,Not Given
1115,Jayanagar,Kalegowda,JD(S),73,0,6384333.0,,Secondary Education,SSLC in 1970,GEN,B.B.M.P(South),Retried Employee,Deceased,Not Given,Cound't Classify
1116,Vijayanagara,Kalleshi K S,Uttama Prajaakeeya Party,33,0,1104583.0,,Graduates,BE in CSE,GEN,Bellary,Private Employee,House Wife,Business / Entrepreneurship,Cound't Classify
1117,Ron,Kalakappa Gurushantappa Bandi,BJP,55,0,253343428.0,,Technical/Professional Courses,"Rastrabhasha Praveen, Passed in the Year-2018, Dakshin Bharat Hindi Prachara Sabha Madras",GEN,Gadag,"Vanashree stone Crusher, Social, Politics",Owen of Milk Dairy,"Environmental Conservation, Social Work / Activism, Politics / Public Service",Agriculture / Farming
1118,Navalgund,Kallappa Nagappa Gaddi,JD(S),58,1,72606000.0,,Graduates,"Bachelor of Arts, Sri Shankara University, Navalgund Dist. Dharwad in 1990",GEN,Dharwad,Agriculturist and Social Worker,Agriculture,"Agriculture / Farming, Social Work / Activism",Agriculture / Farming
1119,Krishnaraja,K.V. Mallesh,JD(S),57,0,115902.0,,Higher Secondary Education,"2nd PUC Discountinued, PS College Mandya 1982-83",GEN,Mysore,Social service,Not Given,Social Work / Activism,Cound't Classify
1120,Dasarahalli,Kalpana. A. V,IND,39,0,2903500.0,1690000.0,Literate,7th STD Government school at Palya Alur Taluk Hassan District in 1994,GEN,Bangalore Urban,House Wife,Govt Employee,Cound't Classify,Politics / Public Service
1121,Turuvekere,Kapanigowda,IND,68,0,2700000.0,,Postgraduates,"B Sc, B Ed, LLB From S G R C Bengaluru 2001",GEN,Tumkur,Advocate Agriculture,Housewife Agriculture,"Law / Judiciary, Agriculture / Farming",Agriculture / Farming
1122,Jamkhandi,Kamaruddin. B. Mursal,IND,39,0,127916.0,,Secondary Education,"SSLC Pass From Govt Boys P B P U College Jamkhandi, Year-1998 1999",GEN,Bagalkot,Business,Housewife,Business / Entrepreneurship,Education / Academia
1123,Gangawati,Karadi Basavaraja,Indian Movement Party,39,0,7361000.0,3830000.0,Graduates,"BA From Shri Ramullu College, Gangavathi In 1998-99",GEN,Koppal,Business,Housewife Business,Business / Entrepreneurship,Business / Entrepreneurship
1124,Gangawati,Kanakappa Hanumappa Hudejali,Karnataka Rashtra Samithi,46,0,1270000.0,400000.0,Primary Education,"4th Class in Sarakari Hiriya Prathamika Shale, Jalihuda, Tq Kanakagiri, Year 86-87",GEN,Koppal,Labour,Labour,Cound't Classify,Cound't Classify
1125,Bidar South,Kapil Godbole,BSP,37,0,5418674.0,,Postgraduates,B.E. Civil in 2011,GEN,Bidar,Social Worker,House wife,Social Work / Activism,Not Given
1126,Hukkeri,Kamble Basavaraj Kadappa,BSP,38,0,299322.0,,Diploma Holders,ITI Diploma in 2010,GEN,Belgaum,Private Job,House Wife,Information Technology,Cound't Classify
1127,Kollegal,Kandalli Mahesh,IND,39,0,941086.0,110800.0,Postgraduates,"MA and PGDMCJ From KSOU, Mysore 2014",SC,Chamarajnagar,Labour,nil,Cound't Classify,Cound't Classify
1128,Dharwad,Kantimath Rajashekharayya Virupakshayya,IND,53,0,1041500.0,,Secondary Education,SSLC PASSED IN 1988 -BHARATHI VISHWA SEVA SADANA HIGH SCHOOL SOMAPURA TQ AND DISTRICT DHARWAD,GEN,Dharwad,Business,House Wife,Business / Entrepreneurship,Cound't Classify
1129,Koppal,Karadi Manjula,BJP,39,0,67751612.0,65677218.0,Graduates,B.Sc from Kuvempu Open University Mysore Koppal in 2008,GEN,Koppal,Agriculture and Business,Agriculture and Business,"Agriculture / Farming, Business / Entrepreneurship","Agriculture / Farming, Business / Entrepreneurship"
1130,Gulbarga Uttar,Kaneez Fatima,INC,64,0,184367677.0,853448.0,Higher Secondary Education,Pre University Studied at Nampally Junior College Hyderabad,GEN,Gulbarga,Business and Educationist,Not Applicable,"Business / Entrepreneurship, Education / Academia",Cound't Classify
1131,Kushtagi,Kanakappa Malagavi,AAP,51,0,8818000.0,231000.0,Graduates,JODC Degree From Government College Gangavati,GEN,Koppal,AGRICULTURE,HOUSE WIFE,Agriculture / Farming,Not Given
1132,Saundatti Yellamma,Karalakatti Nagappa Hanamappa,IND,59,0,2828938.0,255773.0,Literate,7th Class Government kannada medium school Huli T Savadati,GEN,Belgaum,Agriculture,Housewife,Agriculture / Farming,Education / Academia
1133,Pulakeshinagar,Karthik A,JD(U),33,0,133700.0,,Secondary Education,"SSLC from Loretta English School, Coffeboard Colony, Bangalore 560045 in 2006",SC,B.B.M.P(North),Private job and business,Private job,Business / Entrepreneurship,Not Given
1134,Indi,Kasugouda Irappagouda Biradar,BJP,59,0,14810153.0,2500000.0,Secondary Education,"S.S.Junior college INDI(High school),1982 pass year",GEN,Bijapur,farming,Housewife,Agriculture / Farming,Education / Academia
1135,Nagthan,Katakadhond Kavita V D,Rani Chennamma Party,28,0,584290000.0,590000000.0,Higher Secondary Education,PUC Rajaram College Jath in 2010,SC,Bijapur,"Agricultural, Business","Agricultural, Social Work","Agriculture / Farming, Business / Entrepreneurship","Agriculture / Farming, Social Work / Activism"
1136,Devadurga,Karemma,JD(S),50,7,9874000.0,2159000.0,Higher Secondary Education,"PUC Vocational Education Year 2000, S.V.E Trust pre university college, Humanabad, dist ; Bidar",ST,Raichur,Housewife,Retired Govt Employee,Education / Academia,Consulting / Advisory
1137,Vijayanagara,Karthick R S,IND,40,0,1005915.0,379500.0,Secondary Education,"SSLC from PVSBC High School, Hosapete in 1999",GEN,Bellary,Business,House Wife,Business / Entrepreneurship,Cound't Classify
1138,Hungund,Kashappanavara Vijayanand Shivashankrappa,INC,52,11,99121943.0,29294425.0,Higher Secondary Education,2nd PUC From SJ Independent Pre University College Hitnalli Tanda dist. Bijapura 1992,GEN,Bagalkot,"Agriculture, Business and social work",Agriculture and social work,"Agriculture / Farming, Business / Entrepreneurship, Social Work / Activism","Agriculture / Farming, Social Work / Activism"
1139,Belgaum Uttar,Kashiram Bishan Chavhan,IND,65,0,6037415.0,2268000.0,Diploma Holders,SSLC ITI From Govt Polytechnic Campus in 1979,GEN,Belgaum,Social Service,Housewife,Social Work / Activism,Education / Academia
1140,Nagthan,Katakadhond Vitthal Dondiba,INC,67,1,60460000.0,2000000.0,Literate,B.com 2nd Yr Passed,SC,Bijapur,"Agriculture, Social Service and MLA Pension","House Wife, Agriculture and Social Service","Agriculture / Farming, Social Work / Activism, Politics / Public Service","Social Work / Activism, Agriculture / Farming"
1141,Indi,Kavita. Shree. Katakadhond,Rani Chennamma Party,28,0,584380000.0,590000000.0,Higher Secondary Education,PUC From Rajaram College Jath in 2010,GEN,Bijapur,Agricultural Business,Agricultural Social Work,"Agriculture / Farming, Business / Entrepreneurship","Agriculture / Farming, Social Work / Activism"
1142,Hadagalli,Kayannnanavara Putrappa,JD(S),37,1,30300008.0,1792883.0,Secondary Education,SSLC-Saint Thomus High School Harapanahalli-2011,SC,Bellary,Agriculture,No,Agriculture / Farming,Cound't Classify
1143,Kanakapura,Kempegowda,Navabharath Sena,39,0,20000.0,,Higher Secondary Education,"2nd PUC, PU Board, Karnataka State",GEN,Ramanagaram,Self Employed,No,Business / Entrepreneurship,Cound't Classify
1144,Badami,Katannavar Hanamappa Manappa,IND,46,0,770000.0,,Primary Education,2nd std From Kannada Higher Primary School Adgala,GEN,Bagalkot,Labour,House Work,Cound't Classify,Cound't Classify
1145,Hukkeri,Katti Nikhil Umesh,BJP,40,1,1219528236.0,97097.0,Postgraduates,"MBA From University of Wales Institute, Cardiff United Kingdom, Year-2008-09",GEN,Belgaum,Agriculture and MD at VSIL,Housewife and Agriculture,"Agriculture / Farming, Business / Entrepreneurship","Hospitality / Tourism, Agriculture / Farming"
1146,Kollegal,Kemparaju. B,AAP,50,0,1300000.0,,Higher Secondary Education,2nd PUC M G SV Junior college Kollegal 1986-87,SC,Chamarajnagar,Social worker,housewife,Social Work / Activism,Not Given
1147,Sidlaghatta,Kempegowda M,Karnataka Rashtra Samithi,31,1,355000.0,490000.0,Higher Secondary Education,2nd PUC From Shri Jyothi College Jangamakoti Grama In 2012,GEN,Chikkaballapur,Self Employee,Not Given,Unknown,Cound't Classify
1148,Chikkodi-Sadalga,Katti Ramesh Vishwanath,BJP,58,0,325886307.0,2022800.0,Secondary Education,"SSLC Pass From Bharatesh Vidyalay, Bellad, Bagewadi, Year-1980",GEN,Belgaum,Agriculturist,House Wife Agriculturist,Agriculture / Farming,Agriculture / Farming
1149,Sarvagnanagar,Kempurajan,National Peoples Party,46,0,9000.0,,Non-Traditional Education,"Pathway Graduation from Brigham Young University, Idaho",GEN,B.B.M.P(North),Businessman,House wife,Business / Entrepreneurship,Not Given
1150,Devar Hippargi,Kempegouda Iranagouda Keshappagol,IND,35,0,35600000.0,12000000.0,Graduates,"B.A ,J.P .Poravala College Sindagi",GEN,Bijapur,"Agriculture ,Business",Business,"Agriculture / Farming, Business / Entrepreneurship",Business / Entrepreneurship
1151,Bijapur City,Kenganal Mallikarjun Bhimappa,BSP,52,0,27772168.0,1200000.0,Diploma Holders,"Diploma in Mechanical Engineering from C.V. Charatimath Rural Polytechnic Hunagund, Board of Technical-Bengaluru in 1991",GEN,Bijapur,Self Employee,House Maker,Unknown,Cound't Classify
1152,Yelahanka,Keshava Rajanna B,INC,52,2,1115050503.0,139562869.0,Graduates,B.Com Christ College Benglaore University 1995,GEN,Bangalore Urban,Managing Director Arna Dairy Farm Pvt Ltd Bengaluru Business Social Service,"Director ,Arna Dairy Farm Pvt Ltd Bengaluru Business","Business / Entrepreneurship, Agriculture / Farming, Social Work / Activism","Business / Entrepreneurship, Agriculture / Farming"
1153,Chamundeshwari,Kaveesh Gowda V.,BJP,40,0,34237008.0,,Postgraduates,MBA from Cardiff University In 2015 LLB In In 2008 from Karnataka State Law University,GEN,Mysore,"Legal Profession, Advocate",Doctor,Law / Judiciary,Medicine / Healthcare
1154,Davanagere North,Keerthi Kumar.K.S,IND,30,0,475000.0,,Graduates,"B.com, Davanagere University 2014",GEN,Davangere,Agriculture,House wife,Agriculture / Farming,Not Given
1155,Mahalakshmi Layout,Keshavamurthy S,INC,59,1,45478127.0,200000.0,Graduates,"B.A.- KLE College, Rajajinagar, Bengaluru 1983 to 1986 Bengaluru University , PUC- KLE College Rajajinagar Bengaluru 1981 to 1983",GEN,B.B.M.P(North),Business,Teaching Profession (Home Tuition),Business / Entrepreneurship,Education / Academia
1156,Kanakagiri,Kenchappa Lingappa Hirekhed,CPI(ML)(L),39,1,833200.0,,Primary Education,2nd Class S K P School Hirekheda,SC,Koppal,Not Given,Not Given,Cound't Classify,Cound't Classify
1157,Narasimharaja,Khaleel Ur Rahman Shariff,All India Mahila Empowerment Party,55,0,1721000.0,,Literate,7th Class Adamadiya School Mandimohalla Mysore,GEN,Mysore,Electrical Service,Housewife,Engineering / Technology,Education / Academia
1158,Shiggaon,Khajamohiddin Gudageri,Indian Movement Party,59,0,11153000.0,780000.0,Primary Education,2nd standard Govt Higher Primary School Hombaradi in 1971,GEN,Haveri,Business,Government Employee,Business / Entrepreneurship,Politics / Public Service
1159,Arkalgud,Keshavamurthy H.T,Karnataka Rashtra Samithi,46,2,8207500.0,4200000.0,Secondary Education,10th from Govt High School Dodamarg in 1999,GEN,Hassan,Agriculture,Home Maker,Agriculture / Farming,Not Given
1160,Tirthahalli,Kimmane Ratnakar,INC,71,2,37575938.0,,Graduates,"LLB , BMSL LAW College bangalore, Bangalore University in 1977",GEN,Shimoga,court judge,House wife,Law / Judiciary,Not Given
1161,Periyapatna,Kiran Haradur,IND,25,0,37858.0,,Graduates,BA from Government first grade collage in 2022,GEN,Mysore,Social work,Not Given,Social Work / Activism,Cound't Classify
1162,Bangalore South,Kiran V,BSP,29,0,938013.0,227902.0,Graduates,LLB BES Law College Hubli University in 2015-2021,GEN,Bangalore Urban,Advocate,Not Given,Law / Judiciary,Cound't Classify
1163,Shravanabelagola,Kiran T K,Uttama Prajaakeeya Party,39,0,4860550.0,178698.0,Diploma Holders,"Diploma in Electronics and Communication, Department of Technical Education, Sri Siddarameshwara Polytechnic, Tipturu - 2004",GEN,Hassan,Business,House Wife,Business / Entrepreneurship,Cound't Classify
1164,Dasarahalli,Kirthan Kumar Manjappa,AAP,32,0,26308608.0,6073346.0,Technical/Professional Courses,"MBA In HR ,Coventry university,UK-2013",GEN,Bangalore Urban,"Chief executive officers,Soundarya group educational institutions ,Bangalore","Academic director ,soundarya group of educational institutions ,bangalore",Education / Academia,Education / Academia
1165,Kolar Gold Field,Kodanda. R,BSP,47,0,1445000.0,850000.0,Postgraduates,MBA at Bengaluru University Gnanabharathi 2003,SC,Kolar,Social worker,School Teacher,Social Work / Activism,Education / Academia
1166,Krishnarajpet,Kishora A C,Karnataka Rashtra Samithi,33,1,1470000.0,200000.0,Vocational Training,PUC Passed in 2008-2009 ITI Passed in 2010-2011,GEN,Mandya,Agriculture Social Services,House wife,"Agriculture / Farming, Social Work / Activism",Not Given
1167,Sedam,Khasim Sab,BSP,33,0,590000.0,40000.0,Higher Secondary Education,PUC Govt Junior College Sedam,GEN,Gulbarga,Private Job,House wife,Information Technology,Not Given
1168,Chamundeshwari,Kiran Nagesh Kalyani,AAP,31,1,176700.0,148947.0,Postgraduates,"Master in Social work 2021 - Mysore University , Bachelor of Commerce, 2019 - Channa Basava Arts and Commerce College Garag.",GEN,Mysore,Self Employeed,Not Given,Cound't Classify,Cound't Classify
1169,Sagar,Kiran B E,Karnataka Rashtra Samithi,34,0,18450000.0,1445000.0,Graduates,"IInd PUC from DVS Shimoga in 2010-11, Engineering from Nitte Meenakshi Institute of Technology Bangalore in 2016-2017",GEN,Shimoga,Saftware Engineer,Agriculture,Information Technology,Agriculture / Farming
1170,Hirekerur,Kodeppa Sangannanavar,Karnataka Rashtra Samithi,34,0,840000.0,1107000.0,Postgraduates,MA Open university Mysore 2016 pass,GEN,Haveri,Social Service Business,Housewife,"Business / Entrepreneurship, Social Work / Activism",Education / Academia
1171,Bilgi,Komar Muttappa,AAP,58,3,16060862.0,807767.0,Postgraduates,"M.Sc. From Karnataka University Dharward, Year-1989-90",GEN,Bagalkot,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming
1172,Byndoor,Kollur Manjunatha. Naik Be,Rashtriya Samaj Dal (R),40,4,100054500.0,360000.0,Graduates,Engineering (BE) EC 30 10 11 From Vivekananda Engineering University Bangalore,GEN,Udupi,Yes,NO,Cound't Classify,Not Given
1173,Kolar,Kothur.G. Manjunatha,INC,45,1,307839915.0,54192000.0,Secondary Education,SSLC Kennedy High school in 1994-95,GEN,Kolar,Ex MLA,House Wife,Politics / Public Service,Cound't Classify
1174,Bailhongal,Koujalagi Mahantesh Shivanand,INC,52,1,153899312.0,7227724.0,Graduates,"Bachelor of Laws (Special) from Karnataka University Dharwad, Karnataka University Law College, Dharwad in 1996",GEN,Belgaum,Advocate and Agriculturist,Dairy,"Law / Judiciary, Agriculture / Farming",Medicine / Healthcare
1175,Byatarayanapura,Krishna Byregowda,INC,50,2,167056737.0,9522183.0,Postgraduates,M.A. In International Affairs American University Washington DC USA In the year 1999 BBM Christ College Banglore 1994,GEN,Bangalore Urban,Agriculture,Vice President Delivery CGI Information System Ltd,Agriculture / Farming,Information Technology
1176,Kadur,Kote Umesh Hombale,IND,64,0,5723000.0,,Graduates,B.Com from PJNM College Birur in 1982-83,GEN,Chikmagalur,Social Service,House Wife,Social Work / Activism,Cound't Classify
1177,Koppal,Koluru Devendragouda,IND,36,1,41600.0,,Secondary Education,"SSLC ,Shri sideshwara high school koppala,2006",GEN,Koppal,Agriculture,Housewife,Agriculture / Farming,Education / Academia
1178,B.T.M.Layout,Kiran Kumar.M,IND,26,0,54802.0,,Secondary Education,SSLC Karnataka State Board in 2012-13,GEN,B.B.M.P(South),Real Estate and Business,No,"Business / Entrepreneurship, Construction / Real Estate",Cound't Classify
1179,Yelburga,Konanagoudra Mallanagouda,JD(S),42,0,5018000.0,,Postgraduates,"BA,BEd,LLB gulburga univercity gulburga 2012",GEN,Koppal,"lawyer ,Agriculture",Agriculture,"Law / Judiciary, Agriculture / Farming",Agriculture / Farming
1180,Kanakapura,Krishna N M,BSP,45,0,1629000.0,400000.0,Higher Secondary Education,"PUC from Roral College Kanakapura, 1994 -95",GEN,Ramanagaram,Agriculture,Housewife,Agriculture / Farming,Education / Academia
1181,Varuna,Krishnamurthy M,BSP,49,0,1775000.0,100000.0,Postgraduates,"MA in Hindi Mysore University in 2000, B.Ed in Hindi, Mysore Hindi Prachara Parishath, Bangalore in 1997",GEN,Mysore,Social Worker,Not Given,Social Work / Activism,Cound't Classify
1182,Bilgi,Krishna Kale,IND,42,0,10246500.0,250000.0,Secondary Education,"SSLC From Shri Digambareshwar Sakharam Ghorpade School Savalagi, Dist.Bagalkot, Year-1996",GEN,Bagalkot,Agriculture,House wife,Agriculture / Farming,Not Given
1183,Malleshwaram,Krishnaiah,Rashtriya Samaj Dal (R),49,0,1285000.0,15000.0,Secondary Education,"SSLC from Government HIgh School, Ramanagar Bangalore in 1990",GEN,B.B.M.P(North),Self Employed,Not Given,Business / Entrepreneurship,Cound't Classify
1184,Harihar,Krishna M,Uttama Prajaakeeya Party,34,0,22784.0,,Graduates,"Bachelor of Computer Applications, Passed in 1st Class in SJVC College Autonomous, Harihara - 2012",GEN,Davangere,Business (Beeda Shop),House Wife,Business / Entrepreneurship,Cound't Classify
1185,Gulbarga Dakshin,Krishna Reddy,JD(S),32,1,16578608.0,4400635.0,Secondary Education,8th (Failed) from The Noble High School Main Road Kalaburagi In 2004-05,GEN,Gulbarga,Gym Business,Household,Business / Entrepreneurship,Not Given
1186,Gandhi Nagar,Krishnaiah,Rashtriya Samaj Dal (R),49,0,1285000.0,15000.0,Secondary Education,"SSLC from Government High School, Ramanagar Bangalore in 1990",GEN,B.B.M.P(Central),Self Employed,Not Given,Business / Entrepreneurship,Cound't Classify
1187,Khanapur,Krishnaji Pundalik Patil,Shiv Sena (Uddhav Balasaheb Thackeray),54,0,105977826.0,2500000.0,Secondary Education,"10th from wadde bail marathi primary school khanapur, Belagavi in 1987",GEN,Belgaum,"builder,developer and vehicle dealer",housewife,"Construction / Real Estate, Business / Entrepreneurship, Transportation / Logistics",Not Given
1188,Hadagalli,Krishna Nayaka,BJP,40,1,428052937.0,,Postgraduates,"Engineering Graduate, Vishveshvaraya Technological University, Belagavi.",SC,Bellary,Businessman and Farmer,House wife and Farmer,"Business / Entrepreneurship, Agriculture / Farming",Agriculture / Farming
1189,Chintamani,Krishnareddy K,IND,50,0,1538400.0,,Secondary Education,7th Standard from Govt HPS Chandrahalli in 1985,GEN,Chikkaballapur,Agriculture Labour,Agriculture Labour,Agriculture / Farming,Agriculture / Farming
1190,Channagiri,Kubendra Swamy. T,IND,29,0,78000.0,,Higher Secondary Education,PUC,GEN,Davangere,Own Business,House wife,Business / Entrepreneurship,Not Given
1191,B.T.M.Layout,Krs Janani Vathsala,Karnataka Rashtra Samithi,29,1,7500.0,,Diploma Holders,Diploma in Education in 2012 From Bangalore University,GEN,B.B.M.P(South),Student,Not Given,Not Given,Cound't Classify
1192,Srinivaspur,Krs Ananda G.K,Karnataka Rashtra Samithi,31,0,268110.0,690000.0,Secondary Education,SSLC National High School,GEN,Kolar,Business,Not Given,Business / Entrepreneurship,Cound't Classify
1193,Gandhi Nagar,Krisshnaiah Setty Es En Maluru,IND,63,2,1026084301.0,217813600.0,Higher Secondary Education,"Pre-University at Government First Grade College, Kolar (Bangalore University) in 1976-77",GEN,B.B.M.P(Central),"Agriculture, Business","Business, Agricultural Floricultres","Agriculture / Farming, Business / Entrepreneurship","Business / Entrepreneurship, Agriculture / Farming"
1194,Chintamani,Krishnareddy N C,IND,54,0,21157620.0,,Secondary Education,10th Standard from Govt High School Iragampalli,GEN,Chikkaballapur,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming
1195,Bangarapet,Krs Raju M Paul,Karnataka Rashtra Samithi,42,1,1945000.0,80000.0,Postgraduates,Master of Technology - NICC College - Bengaluru - 2010,SC,Kolar,Agriculture and Buiness,Self Employed,"Business / Entrepreneurship, Agriculture / Farming",Business / Entrepreneurship
1196,Melukote,Krishna.E.N.,IND,43,2,1110000.0,,Secondary Education,8th std- Govt High School- pandavapura -1994-1995,GEN,Mandya,Wage and Social Service,House Wife,Social Work / Activism,Cound't Classify
1197,Kanakapura,Krs Prashanth Hosadurga,Karnataka Rashtra Samithi,42,0,88302.0,75000.0,Higher Secondary Education,"PUC 2001 2002, Old Kote Padavi Purva College, Chamrajapete, Bengaluru",GEN,Ramanagaram,Labour,Tailor,Cound't Classify,Arts / Entertainment
1198,Vijay Nagar,Krishnappa.M,IND,41,0,18048000.0,2983000.0,Technical/Professional Courses,JOC Electronic Technology from Old Fort College Bengaluru in 1998-2000,GEN,B.B.M.P(South),Business and Agriculture,Not Applicable,"Business / Entrepreneurship, Agriculture / Farming",Cound't Classify
1199,Pavagada,Krishna Naik,BJP,49,0,12310000.0,0.0,Postgraduates,B A L.L.B. Tumakur Law Collage Banglore University,SC,Tumkur,Lawyer,House wife,Law / Judiciary,Not Given
1200,Ron,Kumar Andappa Hakari,Shiv Sena (Uddhav Balasaheb Thackeray),56,4,21501680.0,5115000.0,Graduates,B.Sc from K. U. D. Dharawad,GEN,Gadag,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
1201,Channapatna,Kumara Swamy A. C,IND,40,0,2000000.0,,Graduates,BCA from Kuvempu College Channaptatna Ramanagar District Bangalore University in 2003,GEN,Ramanagaram,Software Engineer,House wife,Information Technology,Not Given
1202,Vijayanagara,Kurubara Halappa,IND,36,0,1130000.0,,Postgraduates,"LLB -VANKI SANNA RUDRAPPA LAW COLLEGE BALLARI-52021, DME FROM GOVT. POLYTECHNIC COLLEGE BALLARI 2007",GEN,Bellary,Advocate,House Wife,Law / Judiciary,Cound't Classify
1203,Karwar,Kundabai Parulekar,IND,66,0,11474081.0,2227000.0,Graduates,B.A. - Dharwad University In 1997,GEN,Uttara Kannada,Retired Govt. Employee,L.I.C. Advisor,Business / Entrepreneurship,Banking / Finance
1204,Honnali,Kunkova Krishnappa,BSP,43,0,8252000.0,380000.0,Secondary Education,"9th Class Pass, Dr. B R Ambedkar High School, Gadag - 1991, Govt Higher Primary School, Kunkova, Nyamathi Tq.,",GEN,Davangere,Agriculture,House Wife,Agriculture / Farming,Cound't Classify
1205,Tumkur City,Kumar S,IND,52,0,14955000.0,7800000.0,Secondary Education,SSLC JP High School Tumkur in 1987-88,GEN,Tumkur,Agriculture,House Wife,Agriculture / Farming,Cound't Classify
1206,Chikkodi-Sadalga,Kumar Sambhaji Dongare,Karnataka Rashtra Samithi,41,0,13396000.0,345000.0,Diploma Holders,"ITI Sree allamma prahu ITC Chikkodi tq, Belgavi Dist. 2004",GEN,Belgaum,Family Business,House wife,Business / Entrepreneurship,Not Given
1207,Sakaleshpur,Kumarswamy H K,JD(S),68,0,158354999.0,85964596.0,Graduates,"LLB, Mysore University Hassan 1980",SC,Hassan,"Farmer, MLA",Housewife and Business women,"Agriculture / Farming, Politics / Public Service","Not Given, Business / Entrepreneurship"
1208,Hebbal,Kumara S,Uttama Prajaakeeya Party,42,0,564116.0,343905.0,Secondary Education,"SSLC from Panchagiri Practicing High School, Chikkaballapur District in 2000, ITI (Fitter) from Sir M.V. K.V. Trust, Chikkaballapur District in 2003",GEN,B.B.M.P(North),Self Employed,Home Maker,Business / Entrepreneurship,Not Given
1209,Karwar,Kumar Somkant Naik,IND,33,1,820067.0,150000.0,Diploma Holders,"Diploma in Civil in the year 2007, Polytechique College, Karwar",GEN,Uttara Kannada,Real Estate Business,Not Given,Construction / Real Estate,Cound't Classify
1210,Rajarajeshwarinagar,Kusuma H,INC,34,4,47782541.0,12234560.0,Postgraduates,MS in Information Technology University of Massachussetts Boston USA in the Year 2018,GEN,B.B.M.P(Central),Assistant Professor and Social Service,Not Given,"Education / Academia, Social Work / Activism",Cound't Classify
1211,Nagthan,Kullappa Bhimu Chavan,NCP,52,0,1988038.0,550000.0,Higher Secondary Education,PUC Pass,SC,Bijapur,EX Army,House wife,Military / Defense,Not Given
1212,Kundgol,Kutbuddin Imamasab Belagali,IND,42,0,5075000.0,,Primary Education,7th Class from Gov. Higher School Yaraguppi in 1992,GEN,Dharwad,Agriculture,NO,Agriculture / Farming,Not Given
1213,Hadagalli,L Anila Kumar,Karnataka Rashtra Samithi,29,0,101821.0,,Postgraduates,B.L. LLB from R.L Law college in 2021,SC,Bellary,"Lawyer, Social Service",Not Given,"Law / Judiciary, Social Work / Activism",Cound't Classify
1214,Kundgol,Kusumavathi Channabasappa Shivalli,INC,53,0,20352746.0,1754247.0,Secondary Education,"SSLC-KSEEB, Bengaluru, - V.F. Patil High School, Rona, Incompleted in 1988",GEN,Dharwad,Agriculture,Not Given,Agriculture / Farming,Cound't Classify
1215,Madhugiri,Kyathasandra N. Rajanna,INC,72,0,350503607.0,126760567.0,Postgraduates,"LLB from Vidyodaya Law College, Tumkur Bangalore University in 1984, B.Sc. from Government Science College, Tumkur Mysore University in 1972",GEN,Tumkur,Advocate and Agriculturist,Business and Agriculturist,"Law / Judiciary, Agriculture / Farming","Business / Entrepreneurship, Agriculture / Farming"
1216,Chamaraja,L. Nagendra,BJP,59,0,101026677.0,29610000.0,Primary Education,"9th Class, Hadvik School, Mysore- Passed in 1979-80",GEN,Mysore,Agriculture Business,House wife,"Agriculture / Farming, Business / Entrepreneurship",Not Given
1217,Doddaballapur,Kumar Rao,IND,48,0,8295000.0,1500000.0,Literate,"1st Class from Ganigara Pet, Govt. School, Doddaballapur",GEN,Bangalore Rural,Own Business,Housewife,Business / Entrepreneurship,Education / Academia
1218,Hagaribommanahalli,L B P Bheema Naik,INC,48,4,155489575.0,41515855.0,Secondary Education,"8th Valmiki High School,hospete-1988",SC,Bellary,"Agriculture, Dairying","Agriculture, Dairying",Agriculture / Farming,Agriculture / Farming
1219,Madhugiri,L. C. Nagaraja,BJP,56,5,871654479.0,332178319.0,Postgraduates,MA (Kannada Literature) from Bangalore University in 1989-90,GEN,Tumkur,"Assistant Commissioner (Revenue) now Resigned the Job, Agriculture, Business and Rental Income",Died,"Law / Judiciary, Agriculture / Farming, Business / Entrepreneurship",Unknown
1220,Rajarajeshwarinagar,Lakshmi,JD(U),52,0,5115000.0,,Secondary Education,SSLC From Govt. High School Shahapura Village Huttur Hobli Kolar Taluk,GEN,B.B.M.P(Central),Business,Not Given,Business / Entrepreneurship,Cound't Classify
1221,Sorab,Lakshmikanth C S,Uttama Prajaakeeya Party,27,0,73000.0,15647.0,Diploma Holders,Diploma [Commercial Practice ],GEN,Shimoga,Business,Not Given,Business / Entrepreneurship,Cound't Classify
