,uuid,education_category
4186,bcf59R2o,Higher Secondary Education
4187,i2j8cz2v,Primary Education
4188,kdMGYLQx,Graduate
4189,bw48dupi,Graduate
4190,9syaZkSx,Secondary Education
4191,eFtYcSi6,Postgraduate
4192,SZAZryqH,Secondary Education
4193,NJ9G6s3G,Postgraduate
4194,aTuZhT3e,Higher Secondary Education
4195,2MRYidBB,Graduate
4196,f258Wi3H,Higher Secondary Education
4197,YnMPjXsf,Higher Secondary Education
4198,CCAmeRWP,Unknown
4199,4SXQCwjU,Graduate
4200,hhGMhCCm,Higher Secondary Education
4201,darkA88B,Graduate
4202,etmdmLgx,Primary Education
4203,7gzmtfmo,Higher Secondary Education
4204,fJfcvg8t,Graduate
4205,PibZyXxA,Doctorate
4206,A5DKy7to,Higher Secondary Education
4207,RakofQEt,Primary Education
4208,oDAVJ7ZP,Postgraduate
4209,WjEqGQKL,Postgraduate
4210,BnTFucjk,Graduate
4211,EMwBn9HH,Secondary Education
4212,KZRpCCuF,Primary Education
4213,YpLKnUy5,Primary Education
4214,TuiPkg77,Primary Education
4215,UUUyQL2D,Graduate
4216,ikJFVriL,Diploma Holder
4217,25gTKf32,Secondary Education
4218,CzA5ZiSW,Secondary Education
4219,4j2GqLKk,Primary Education
4220,23X6RLrV,Postgraduate
4221,HGZvHJnD,Primary Education
4222,kiTHxYe4,Diploma Holder
4223,ByociXoj,Doctorate
4224,hZWE4syd,Secondary Education
4225,5VaR45Et,Postgraduate
4226,AjkHra3z,Secondary Education
4227,Yu39fo7G,Unknown
4228,KBzMETVf,Higher Secondary Education
4229,DybXNwwQ,Higher Secondary Education
4230,XgN22Jpp,Higher Secondary Education
4231,895cyDyw,Primary Education
4232,aEuDvara,Postgraduate
4233,LiqSjWpo,Illiterate
4234,4ozkxuSg,Graduate
4235,ZmYGeJJ7,Higher Secondary Education
4236,L2noVe2U,Higher Secondary Education
4237,MDQiPQYG,Secondary Education
4238,XHjwYPh9,Higher Secondary Education
4239,CjXs5k6t,Unknown
4240,UiUpQ9ME,Higher Secondary Education
4241,hUnyitXa,Secondary Education
4242,adiXecUz,Secondary Education
4243,UfvGnUFk,Graduate
4244,HrwbX2wb,Primary Education
4245,6kK7rBZ6,Secondary Education
4246,Gf6jJP55,Primary Education
4247,N5FZk6yC,Secondary Education
4248,Pikuase7,Postgraduate
4249,bjkMUwoc,Higher Secondary Education
4250,F6XkwgYN,Unknown
4251,SaQM8HEP,Unknown
4252,KaJNKhme,Higher Secondary Education
4253,geEMiKT8,Primary Education
4254,XiB9Ei5s,Graduate
4255,WGgHB6cg,Primary Education
4256,6mbaCUWq,Higher Secondary Education
4257,bhkm4p4U,Postgraduate
4258,AEN59HN2,Higher Secondary Education
4259,59cAyYXU,Secondary Education
4260,YjZePKXo,Primary Education
4261,NU9DF3dJ,Secondary Education
4262,DoqF9Kum,Higher Secondary Education
4263,9kXwZhUQ,Graduate
4264,XArVGn3K,Higher Secondary Education
4265,NLknRbF6,Higher Secondary Education
4266,WZRxAQjr,Postgraduate
4267,9BBVtD2J,Secondary Education
4268,RswXK2DT,Higher Secondary Education
4269,iBsNLzpd,Unknown
4270,WBd7pBMo,Diploma Holder
4271,PRGLY2fU,Primary Education
4272,7mvVY4nZ,Higher Secondary Education
4273,TjRQcNHY,Higher Secondary Education
4274,fuwMNKZ4,Graduate
4275,m3Bp5uWm,Vocational Training
4276,TXjfKmPo,Higher Secondary Education
4277,o2gi5jmg,Higher Secondary Education
4278,gw2xpyJD,Higher Secondary Education
4279,WwKsACcm,Postgraduate
4280,GQG8vLno,Primary Education
4281,KHr9RWuJ,Vocational Training
4282,Z8qC8nhJ,Graduate
4283,XoxbcFrt,Postgraduate
4284,VLTzdWGD,Postgraduate
4285,o3rEhnMA,Graduate
4286,AUghHyJe,Postgraduate
4287,gwmCa7RQ,Graduate
4288,SNxtrhtM,Higher Secondary Education
4289,bjq2LBEQ,Secondary Education
4290,Wo83Sgzk,Graduate
4291,dHtES4Am,Primary Education
4292,EphmAYPR,Higher Secondary Education
4293,6XHNQhSt,Higher Secondary Education
4294,PpexXniM,Postgraduate
4295,87t6g9Fm,Postgraduate
4296,NTPHJsCs,Primary Education
4297,RWtFy6Ss,Primary Education
4298,7F5kUb9k,Technical/Professional Course
4299,X44pczjP,Unknown
4300,njmshfUa,Graduate
4301,FYSoBjLS,Postgraduate
4302,nn5n3LhH,Graduate
4303,nFtWSS5G,Graduate
4304,GJWmLQNQ,Unknown
4305,37aX7Paz,Higher Secondary Education
4306,Nriw46RR,Postgraduate
4307,DdsMSxis,Diploma Holder
4308,fLBnDu8J,Higher Secondary Education
4309,6cJNPxDb,Graduate
4310,DdR5u6yf,Graduate
4311,XFqMZthn,Secondary Education
4312,UjbcwQy7,Graduate
4313,J6eDF4G6,Primary Education
4314,A6RERjXv,Secondary Education
4315,7zk8v6AM,Doctorate
4316,hE23UJ3u,Higher Secondary Education
4317,Jz9BJ6uV,Postgraduate
4318,EWuRRsed,Higher Secondary Education
4319,it4MJpRV,Graduate
4320,DGbg2sWn,Graduate
4321,dqoGn8Fz,Graduate
4322,3kbJQYJz,Primary Education
4323,DruHfHH9,Vocational Training
4324,MUHJwXd2,Higher Secondary Education
4325,PkwPjTJd,Higher Secondary Education
4326,RnwRP3Fk,Graduate
4327,SRiiVAmD,Primary Education
4328,643WeKyu,Higher Secondary Education
4329,dA8t3WiF,Graduate
4330,fES6WeQG,Secondary Education
4331,ScykvGfY,Higher Secondary Education
4332,MPzCE4Dj,Postgraduate
4333,WJiWBy6z,Primary Education
4334,d7wgCcEn,Primary Education
4335,Ra99mYZH,Secondary Education
4336,HNamdqUh,Secondary Education
4337,gJ4oReDc,Graduate
4338,Eib8pyFU,Graduate
4339,3yawNGvt,Higher Secondary Education
4340,mRGNgFYK,Unknown
4341,6f5RaLYC,Postgraduate
4342,3t5HGYq2,Unknown
4343,c8NqiX5P,Unknown
4344,YasSEy8G,Graduate
4345,CBAmKFVx,Primary Education
4346,So6eyd6e,Primary Education
4347,W3ySyQ9w,Unknown
4348,aPVy2kGR,Primary Education
4349,dK92gH4k,Diploma Holder
4350,AjZowPLF,Graduate
4351,TAca2mAf,Unknown
4352,CP63DYr4,Postgraduate
4353,6QZemHxL,Higher Secondary Education
4354,5t7LFKY9,Secondary Education
4355,5Eta9E8p,Secondary Education
4356,2KCQXY6x,Higher Secondary Education
4357,C2NLEzvc,Primary Education
4358,XuamWbb3,Graduate
4359,BLDLpxrb,Secondary Education
4360,4M8QZ89z,Graduate
4361,WFoRw2TJ,Higher Secondary Education
4362,WSw6KdUJ,Higher Secondary Education
4363,3anzZvD2,Unknown
4364,2BbzR53a,Graduate
4365,ET7KgZxe,Primary Education
4366,o3CexyGW,Primary Education
4367,LeHWWPXN,Diploma Holder
4368,XmGpSZhz,Higher Secondary Education
4369,EcPVhF3o,Secondary Education
4370,HbZPntrQ,Secondary Education
4371,X5pnkk8W,Graduate
4372,mJP5mPoa,Unknown
4373,6F4qUV9t,Graduate
4374,eMh2uYLn,Graduate
4375,Z2gxipdC,Secondary Education
4376,UDCsxSAz,Postgraduate
4377,cSBbj4uv,Postgraduate
4378,hwMeDRcj,Vocational Training
4379,MgUSjzVL,Graduate
4380,kZPLhJhc,Higher Secondary Education
4381,GV88qXsY,Secondary Education
4382,K8FDU7t2,Graduate
4383,LqxMnaKn,Graduate
4384,HfKZt2Ni,Graduate
4385,4qyqfyDe,Postgraduate
4386,AeKddia9,Unknown
4387,k56nEd2C,Graduate
4388,5p9RopPW,Graduate
4389,3ZzXCesF,Graduate
4390,5JdMqX6i,Postgraduate
4391,ADifC93H,Secondary Education
4392,gFf26xZd,Postgraduate
4393,JhZMYn85,Higher Secondary Education
4394,SGpWUBRk,Unknown
4395,ZgRQcAX4,Secondary Education
4396,Rrs6C2xQ,Graduate
4397,8ZJXB2VE,Secondary Education
4398,SJzmQf44,Diploma Holder
4399,ZsUxoi7E,Graduate
4400,RRdYEyWP,Primary Education
4401,4Vfp63Kw,Postgraduate
4402,FLyyxhgN,Higher Secondary Education
4403,ARWPbAiU,Postgraduate
4404,G2jn2WQD,Graduate
4405,HmWhdD4P,Higher Secondary Education
4406,S2vFv53b,Graduate
4407,U3MFJPHR,Secondary Education
4408,UH2n5vyU,Unknown
4409,bYFz5hrw,Unknown
4410,oBKzFAXu,Higher Secondary Education
4411,DdKyKnvt,Graduate
4412,VjcK33YB,Unknown
4413,8aSqRa32,Higher Secondary Education
4414,RFrhx2zi,Graduate
4415,3LyrZ8wv,Graduate
4416,BwkUWc8Y,Primary Education
4417,SviYrD7f,Vocational Training
4418,YnsrDps7,Primary Education
4419,eaLN7MkB,Graduate
4420,4teqNWRF,Graduate
4421,NwmcycfU,Primary Education
4422,Poyk34re,Graduate
4423,fDWm3QmQ,Higher Secondary Education
4424,DhMvevGf,Postgraduate
4425,EYKuWjjd,Secondary Education
4426,3jZWNBff,Higher Secondary Education
4427,5Y5yq55i,Higher Secondary Education
4428,P9sjmaFG,Graduate
4429,hkTPuQDB,Doctorate
4430,HXMJTbv8,Higher Secondary Education
4431,8siei8DT,Secondary Education
4432,BC9uHDeE,Graduate
4433,iAnVnEem,Primary Education
4434,e4XdDLyA,Primary Education
4435,cyxHyhBC,Secondary Education
4436,hc8kjcfy,Higher Secondary Education
4437,Lak7iFEy,Primary Education
4438,Lvf3fNk7,Graduate
4439,VwBJ4FWj,Postgraduate
4440,maAfeTmE,Higher Secondary Education
4441,PCiUvNVK,Graduate
4442,kG6Uroj4,Higher Secondary Education
4443,VTskB4wk,Graduate
4444,9hn7sLEH,Graduate
4445,jjgfypiV,Primary Education
4446,CXW6ZxBm,Unknown
4447,5WCKm3Qg,Higher Secondary Education
4448,6zYGAoLE,Secondary Education
4449,a8qnFaab,Primary Education
4450,Eou8j7au,Postgraduate
4451,Q7LAWqUA,Higher Secondary Education
4452,ZSCse8zL,Vocational Training
4453,oHbototi,Graduate
4454,DeJeYumv,Higher Secondary Education
4455,eF5Q57sW,Graduate
4456,hdHqcaeY,Postgraduate
4457,PEJDcZTJ,Diploma Holder
4458,HQFSARYp,Graduate
4459,SZ6ebG9U,Higher Secondary Education
4460,LXsukQc8,Higher Secondary Education
4461,eXdKuqsa,Primary Education
4462,aM5XGiZG,Secondary Education
4463,aZ2qfxoQ,Higher Secondary Education
4464,2ZckmNED,Higher Secondary Education
4465,dwANgp2J,Higher Secondary Education
4466,ZeWmUg82,Secondary Education
4467,cPFV4j3W,Unknown
4468,SVnZUxEH,Graduate
4469,CzbcTSnq,Higher Secondary Education
4470,hmBtJFCK,Secondary Education
4471,cStyawFZ,Graduate
4472,bQeYTyD6,Unknown
4473,dpDyQDdn,Primary Education
4474,Aio4YjVk,Graduate
4475,JKh35CtU,Vocational Training
4476,MWt3yzJz,Higher Secondary Education
4477,XTsnyVBU,Higher Secondary Education
4478,LmA8GkMF,Graduate
4479,9C2ZGwVR,Postgraduate
4480,bytcZret,Diploma Holder
4481,oLp6ERXR,Higher Secondary Education
4482,JwBj64T3,Unknown
4483,NgnjyDfM,Secondary Education
4484,SqayfXdy,Primary Education
4485,k7LjMTkE,Graduate
4486,R5i5ywFk,Graduate
4487,6SsQk7kx,Primary Education
4488,RoJiM75r,Higher Secondary Education
4489,nCXKpM7m,Graduate
4490,9jfNSUM7,Higher Secondary Education
4491,338D2oRS,Secondary Education
4492,BYmC5z2J,Postgraduate
4493,QmCoZE9X,Higher Secondary Education
4494,7JPGQVms,Graduate
4495,eGzoMowu,Primary Education
4496,Bs53xEAr,Vocational Training
4497,Qc77a5Js,Postgraduate
4498,DRKQJy6Y,Diploma Holder
4499,nm4r6Vxe,Graduate
4500,6pazL5gt,Postgraduate
4501,jtfhuK4f,Graduate
4502,eSfwjMkX,Secondary Education
4503,gKnaTkJu,Postgraduate
4504,NQkoQiQw,Higher Secondary Education
4505,G5Lf9Lfx,Higher Secondary Education
4506,nKbU7ZBw,Higher Secondary Education
4507,44bzorVf,Unknown
4508,43vDmF5N,Higher Secondary Education
4509,GMhyUKsT,Graduate
4510,GCh9n5aJ,Graduate
4511,65cQXYqZ,Primary Education
4512,mQgFNjhy,Secondary Education
4513,kfTn3Pdv,Graduate
4514,Bqi2d6ef,Graduate
4515,jLeaEXA3,Primary Education
4516,NBicsazM,Diploma Holder
4517,dVVdBKuk,Secondary Education
4518,hdfCs9Bb,Postgraduate
4519,J6HdvX2a,Secondary Education
4520,VFkK6JCf,Graduate
4521,Rv5JgARD,Higher Secondary Education
4522,YnqWFkUy,Higher Secondary Education
4523,QrsLP6gM,Higher Secondary Education
4524,nkUEHHW6,Secondary Education
4525,mmjmycoJ,Secondary Education
4526,VNCt9eZG,Higher Secondary Education
4527,cPSAB7E3,Primary Education
4528,UCUJ2Hho,Graduate
4529,W54ZjAMS,Graduate
4530,g6mrhpiQ,Higher Secondary Education
4531,Y2Z7aLs6,Graduate
4532,5KoeWDwW,Postgraduate
4533,iohdx34D,Secondary Education
4534,D2nALUun,Graduate
4535,UZzz22qP,Diploma Holder
4536,aM57Pn7w,Secondary Education
4537,5CXJgaEc,Graduate
4538,gDvJZL77,Vocational Training
4539,iTn5Jgww,Postgraduate
4540,FfR5hivd,Illiterate
4541,TExUVLoJ,Secondary Education
4542,MM7JHdtY,Higher Secondary Education
4543,EpcfD5Eh,Higher Secondary Education
4544,HmZSYno2,Secondary Education
4545,i6U5CFog,Higher Secondary Education
4546,8Lke5BQx,Graduate
4547,7jMGMf2o,Graduate
4548,ibFoKGSG,Graduate
4549,XqQjqLuQ,Unknown
4550,TfngDLni,Higher Secondary Education
4551,coupqMCL,Higher Secondary Education
4552,KfPFcLdx,Secondary Education
4553,RwJu9yaA,Higher Secondary Education
4554,irT3LoWQ,Higher Secondary Education
4555,Ei2xADAv,Secondary Education
4556,BdEnhDqp,Higher Secondary Education
4557,fhmSDoFf,Graduate
4558,R3yWAWiB,Secondary Education
4559,K4hRKKLN,Secondary Education
4560,jjHP9gt6,Graduate
4561,9dymYjaU,Higher Secondary Education
4562,RRioa3n6,Graduate
4563,M5rk5KQ5,Higher Secondary Education
4564,dKiuukZo,Primary Education
4565,HFcEfpVr,Graduate
4566,mm5XuuDa,Postgraduate
4567,LqatN3Rh,Diploma Holder
4568,CEBrDQUU,Graduate
4569,C3pVbgVs,Higher Secondary Education
4570,QR83c27m,Literate
4571,YztppxX4,Unknown
4572,XR2Qr5cg,Higher Secondary Education
4573,R9BodGXX,Postgraduate
4574,dT83VpXh,Higher Secondary Education
4575,XSjXFzFS,Graduate
4576,eWwkwt7T,Graduate
4577,DcPSyheG,Graduate
4578,6AYKVtGH,Graduate
4579,UmeRsY7x,Diploma Holder
4580,GN2jgqw4,Unknown
4581,ker7tpzU,Graduate
4582,mW7hCkBg,Postgraduate
4583,XcvYgg25,Primary Education
4584,VznazbVh,Primary Education
4585,MHqGHHm6,Higher Secondary Education
4586,c9MrKiPc,Unknown
4587,ctou6HCP,Graduate
4588,SJEvtHdc,Higher Secondary Education
4589,B4ZMY46G,Higher Secondary Education
4590,BaUffcyd,Doctorate
4591,5rC69nPj,Higher Secondary Education
4592,PAnYrJr2,Primary Education
4593,KPSgPhMe,Higher Secondary Education
4594,HUFDTMtG,Graduate
4595,fMqwG6Ju,Higher Secondary Education
4596,nasZdqmY,Postgraduate
4597,eVQrTXGM,Graduate
4598,Vxngu9wj,Secondary Education
4599,MqTjRsb3,Vocational Training
4600,9fj86wPQ,Secondary Education
4601,X9evRGxF,Higher Secondary Education
4602,nomGgrH8,Graduate
4603,VmEeg8Fm,Graduate
4604,GjzzRLWw,Higher Secondary Education
4605,RxGRs9ad,Higher Secondary Education
4606,73ap4vdc,Secondary Education
4607,hC2RaEC5,Primary Education
4608,A8FzWTUW,Graduate
4609,hoB2B8hF,Higher Secondary Education
4610,JHBfNkaW,Graduate
4611,8mRxb87s,Primary Education
4612,Co83oPtm,Secondary Education
4613,fJj7xztU,Secondary Education
4614,etHiBQvY,Higher Secondary Education
4615,TTXfSM88,Higher Secondary Education
4616,8z6v9Vu5,Graduate
4617,ZNRoGM9M,Postgraduate
4618,2xVXWqEU,Higher Secondary Education
4619,UmoLjQCv,Graduate
4620,a9REPr9G,Primary Education
4621,3aPtQiN5,Postgraduate
4622,eUiHov5T,Higher Secondary Education
4623,7JQFiXzK,Primary Education
4624,ae2AWspa,Graduate
4625,ZFRYNBQt,Graduate
4626,8EtFRgYK,Higher Secondary Education
4627,GCQjuPmM,Higher Secondary Education
4628,T2a3ikfu,Illiterate
4629,gHMSTgZo,Unknown
4630,agYX9zDF,Higher Secondary Education
4631,eJVWPdHL,Secondary Education
4632,hnfN4nce,Postgraduate
4633,7dtK93aj,Graduate
4634,VaNqwBWd,Primary Education
4635,RZ2kJhWt,Unknown
4636,7rFwJKPX,Graduate
4637,ayL65Fqx,Postgraduate
4638,9avpdkAD,Unknown
4639,jzC48L3o,Secondary Education
4640,ZgQ2enFq,Literate
4641,AJH5swVw,Secondary Education
4642,C6eTZbnJ,Unknown
4643,R8eceuXW,Doctorate
4644,5jGuzwhE,Postgraduate
4645,B2ddBsUP,Higher Secondary Education
4646,ntBCoiCr,Higher Secondary Education
4647,QBFB3Bfa,Higher Secondary Education
4648,HsjqieXt,Higher Secondary Education
4649,axF4tPTd,Higher Secondary Education
4650,3Doaff96,Secondary Education
4651,hbnP7Qd3,Postgraduate
4652,3qVnZfJh,Primary Education
4653,DfhK5gFu,Secondary Education
4654,5wvrbFkX,Graduate
4655,82i26Fc6,Graduate
4656,FcFzJxEP,Graduate
4657,7N2jchFW,Primary Education
4658,imadsJ4R,Unknown
4659,N6Dt558u,Graduate
4660,FfjRgpBL,Postgraduate
4661,EBYCCYZY,Higher Secondary Education
4662,AadfRQPM,Vocational Training
4663,dQ5yJQGz,Secondary Education
4664,a3zCQyqq,Higher Secondary Education
4665,3niVhSiy,Higher Secondary Education
4666,C8RmSMNs,Unknown
4667,moB539MM,Graduate
4668,gsufXZ8i,Primary Education
4669,mApK4JTP,Postgraduate
4670,Btju7SQC,Unknown
4671,Rb6P5T6k,Primary Education
4672,QFsMKP22,Secondary Education
4673,a5iehPhM,Postgraduate
4674,PwkVfEMi,Postgraduate
4675,3LqyWvBM,Postgraduate
4676,2iovxZHj,Postgraduate
4677,iT4UdLjQ,Higher Secondary Education
4678,2CUVCvAk,Primary Education
4679,QaKQSHNc,Higher Secondary Education
4680,Casoie8A,Higher Secondary Education
4681,RWLhvPxn,Higher Secondary Education
4682,bHWBhayY,Higher Secondary Education
4683,FfkUNNvC,Higher Secondary Education
4684,M36gYKy6,Postgraduate
4685,aiXP4Bmb,Secondary Education
4686,mVjzaYNZ,Postgraduate
4687,Migdh7p7,Higher Secondary Education
4688,a22GUfLU,Graduate
4689,kj7WgaXj,Higher Secondary Education
4690,MRfGQo49,Secondary Education
4691,4w8JwBjg,Primary Education
4692,b76tfA6X,Primary Education
4693,6EXoThdk,Secondary Education
4694,LLJUqKdE,Unknown
4695,gFqJPBWr,Postgraduate
4696,aUGjxagg,Higher Secondary Education
4697,KNETsCBc,Higher Secondary Education
4698,o8SGGnhf,Graduate
4699,EfnNtgFR,Doctorate
4700,brf8ZgqX,Higher Secondary Education
4701,AUWZoMPS,Primary Education
4702,euapy2AP,Graduate
4703,hxWuGqdk,Graduate
4704,iPAQLqXR,Secondary Education
4705,FTnAZ9aC,Graduate
4706,G2UmAYJy,Graduate
4707,AEMiFn5J,Higher Secondary Education
4708,DCHSxErb,Diploma Holder
4709,YBAbqDka,Higher Secondary Education
4710,kzBwzmWL,Higher Secondary Education
4711,QQrQFebG,Postgraduate
4712,nFPzjvbN,Primary Education
4713,RxVjCTnL,Graduate
4714,WF8SwtQr,Higher Secondary Education
4715,4mfBNhDm,Primary Education
4716,gbjuhBBq,Graduate
4717,GxKgPN9J,Postgraduate
4718,HnTwT5DK,Secondary Education
4719,AKUZk4wp,Higher Secondary Education
4720,cLvzYRj9,Higher Secondary Education
4721,4GWcVeDC,Graduate
4722,ZvLzUSPT,Graduate
4723,7WzFmPrX,Secondary Education
4724,mfCQSVs8,Higher Secondary Education
4725,PKUQahBk,Secondary Education
4726,nggV6kWG,Higher Secondary Education
4727,jKRqXjoK,Higher Secondary Education
4728,JXRP4688,Graduate
4729,4pyZoeNh,Primary Education
4730,DgeSBafu,Graduate
4731,b76BoL2E,Graduate
4732,dAuY8ZgA,Graduate
4733,HaW5Tkaw,Higher Secondary Education
4734,GRRXDXKA,Graduate
4735,fwCqrgKG,Unknown
4736,QkYHdFpW,Graduate
4737,H3TRVFun,Graduate
4738,42T644dd,Higher Secondary Education
4739,NMdZYmtD,Higher Secondary Education
4740,RkXoHu5i,Graduate
4741,m52k2iz2,Postgraduate
4742,EvgGGc9Y,Graduate
4743,mPyGuQTH,Primary Education
4744,gHjMUHak,Unknown
4745,RdCNxKXy,Graduate
4746,UdmqJkGF,Vocational Training
4747,5G9eZ8wo,Higher Secondary Education
4748,X2rC76Ep,Graduate
4749,6xve2nrK,Vocational Training
4750,2ih5T6JF,Postgraduate
4751,B8URua5s,Unknown
4752,9sHQiXai,Primary Education
4753,UDdfHrQZ,Higher Secondary Education
4754,PusuR9yd,Graduate
4755,b6iF3snA,Unknown
4756,HptuAG9U,Higher Secondary Education
4757,NGgBRPrx,Higher Secondary Education
4758,NWFwFjZT,Higher Secondary Education
4759,fhiGcDJK,Graduate
4760,nuPTyQDz,Graduate
4761,FudqeDMc,Graduate
4762,Bd6wFAUc,Graduate
4763,dFLb3uex,Graduate
4764,cXHzvuMQ,Unknown
4765,24JdYq5m,Postgraduate
4766,Sroo4E7x,Graduate
4767,mnwfUR4k,Graduate
4768,mthMaryJ,Secondary Education
4769,9GmRWn8E,Graduate
4770,Bi2EAP8a,Higher Secondary Education
4771,N5gYnwRQ,Graduate
4772,4RQpT3t3,Graduate
4773,HWRvfY7e,Secondary Education
4774,bNJkHqDX,Graduate
4775,6MkpgAhq,Graduate
4776,EGN84HGt,Diploma Holder
4777,ZDkW7eoX,Graduate
4778,YD4ZoSaV,Higher Secondary Education
4779,6KQafhPi,Literate
4780,9w8AbWDD,Graduate
4781,jvVx4j3s,Diploma Holder
4782,PeRBYoYX,Postgraduate
4783,PsAYXSR2,Higher Secondary Education
4784,X8NBdb4T,Secondary Education
4785,oR7zGEiD,Primary Education
4786,NwPNbBLA,Postgraduate
4787,QSmW9Ed3,Graduate
4788,3KQB34bo,Primary Education
4789,9Hs3baig,Higher Secondary Education
4790,UcCGVMTy,Primary Education
4791,nzKJdYYk,Secondary Education
4792,bfaYtziE,Primary Education
4793,f9SyyfPQ,Secondary Education
4794,j2XNUZ8j,Postgraduate
4795,LK3YH249,Unknown
4796,TTxoFUXD,Higher Secondary Education
4797,SuH2HVSX,Vocational Training
4798,8itLNZX3,Higher Secondary Education
4799,n4rMNUCz,Higher Secondary Education
4800,cdioN7t8,Postgraduate
4801,HFneThLg,Postgraduate
4802,ApVWST5R,Primary Education
4803,cpw8bMP6,Graduate
4804,YmkPnFdw,Secondary Education
4805,ZRJxpVnK,Postgraduate
4806,4Q4tnx55,Secondary Education
4807,6mZKbNZe,Higher Secondary Education
4808,WJpdsRm8,Vocational Training
4809,FGgKVJRb,Higher Secondary Education
4810,ZRHAQkfw,Primary Education
4811,c6MMTLXw,Secondary Education
4812,32oZc2pW,Higher Secondary Education
4813,QL2K5Eoc,Secondary Education
4814,Y6azEhsA,Graduate
4815,cZcTtA3p,Graduate
4816,js4PGvUy,Primary Education
4817,Lugczhyo,Graduate
4818,ZJW6cUKM,Higher Secondary Education
4819,McRFjeZL,Higher Secondary Education
4820,X7SyuL4g,Graduate
4821,h4bo3PtL,Higher Secondary Education
4822,PBSLrPN5,Graduate
4823,QHHmxvLc,Higher Secondary Education
4824,7UiGA8kk,Postgraduate
4825,geQY7pj6,Diploma Holder
4826,kKYvkjg6,Doctorate
4827,9FUkrFLN,Graduate
4828,naGaxji5,Higher Secondary Education
4829,n8TUshTU,Graduate
4830,abm9hGpd,Higher Secondary Education
4831,hQjedLGr,Unknown
4832,TeAicQMs,Postgraduate
4833,2eCZU6pK,Higher Secondary Education
4834,gKKnQpfw,Higher Secondary Education
4835,57xS6VZk,Graduate
4836,eq3q9XeF,Graduate
4837,XmcGmCMU,Higher Secondary Education
4838,gooMaqXq,Secondary Education
4839,EFgvKJvF,Higher Secondary Education
4840,DnybUL9x,Unknown
4841,47j3w9Xt,Graduate
4842,oKRndSV5,Postgraduate
4843,danqB5WL,Secondary Education
4844,AWThZYTx,Graduate
4845,bXNF9ctZ,Graduate
4846,LBhptRbD,Graduate
4847,HzVg49C8,Graduate
4848,4crCdS4C,Graduate
4849,HzW833JJ,Graduate
4850,KFKfpo5T,Unknown
4851,Gu2nZd4g,Higher Secondary Education
4852,MYL6MNZp,Secondary Education
4853,jJ63xEav,Primary Education
4854,Tdi85vAr,Secondary Education
4855,Kh6auvG7,Higher Secondary Education
4856,mkumJGNY,Higher Secondary Education
4857,QMAmJtWQ,Graduate
4858,JKtPijZF,Graduate
4859,67X2kUZg,Diploma Holder
4860,S9yV8pVG,Higher Secondary Education
4861,c6if72pB,Unknown
4862,aLLUp6Bo,Unknown
4863,YZj9tgAL,Higher Secondary Education
4864,DNgEMCRD,Primary Education
4865,EFsXj6dc,Postgraduate
4866,LJUugwsT,Diploma Holder
4867,fsepUzyB,Diploma Holder
4868,9Ao59tTn,Technical/Professional Course
4869,J22dFxQS,Secondary Education
4870,ZkZfqFgU,Primary Education
4871,CdbrBtMp,Unknown
4872,ZZntoptd,Graduate
4873,4Wbbmght,Secondary Education
4874,F6tjsKAT,Higher Secondary Education
4875,EGxePfaV,Graduate
4876,5i6HgqSH,Higher Secondary Education
4877,5WesAYnv,Primary Education
4878,iJNUvCC6,Higher Secondary Education
4879,kiRiYa5c,Higher Secondary Education
4880,XtbGbscG,Primary Education
4881,LtDrXRnT,Higher Secondary Education
4882,5569xyoZ,Primary Education
4883,9PfCaPpw,Primary Education
4884,B2shNsgz,Higher Secondary Education
4885,kXBSYAVk,Secondary Education
4886,FyDCAWaa,Primary Education
4887,QTB62SYZ,Higher Secondary Education
4888,doTag5st,Unknown
4889,mnLgy8fg,Secondary Education
4890,hDvaun9t,Higher Secondary Education
4891,XHFUmjga,Secondary Education
4892,CxSo9v5u,Secondary Education
4893,aQ83hFN6,Higher Secondary Education
4894,gPuahHCX,Higher Secondary Education
4895,aehSQXQk,Higher Secondary Education
4896,j2TSHMW7,Higher Secondary Education
4897,cZudhGRr,Postgraduate
4898,eEMETXrB,Doctorate
4899,Eu9t736G,Secondary Education
4900,PzbTHMFP,Secondary Education
4901,ANJg4GAV,Postgraduate
4902,iUWrrN8i,Postgraduate
4903,48hYRpXR,Doctorate
4904,4qGJZxDA,Primary Education
4905,NBZTEfC9,Postgraduate
4906,2LGdFQws,Graduate
4907,fvZ75W4o,Higher Secondary Education
4908,B4Qj8X84,Higher Secondary Education
4909,mVeBcGRH,Higher Secondary Education
4910,b96ubgVa,Higher Secondary Education
4911,K2u49rPb,Higher Secondary Education
4912,jJpAcLer,Higher Secondary Education
4913,6sVCzZNS,Higher Secondary Education
4914,cf33R9XL,Higher Secondary Education
4915,TCN9pppU,Graduate
4916,DmcSGTHs,Higher Secondary Education
4917,DDDk2aeQ,Higher Secondary Education
4918,CKDUGLXH,Higher Secondary Education
4919,cY7qujiu,Higher Secondary Education
4920,Pk5JSWo4,Higher Secondary Education
4921,9sUzjEZz,Graduate
4922,dMNrmYow,Graduate
4923,ZiJHBzrE,Diploma Holder
4924,n7uh2bL4,Primary Education
4925,7G64PjQd,Graduate
4926,DB5SmbdN,Literate
4927,DhoHRm6i,Higher Secondary Education
4928,SGwjZfQ8,Secondary Education
4929,aWwHK6Jt,Postgraduate
